magX,magY,magZ
39.043,-103.27,-35.352
39.575,-103.449,-35.866
38.51,-108.79,-36.21
40.107,-112.173,-33.979
40.285,-114.132,-34.15
41.882,-115.378,-33.979
42.237,-116.802,-32.606
42.237,-117.871,-32.606
42.769,-118.761,-31.748
44.189,-120.898,-32.091
45.254,-121.61,-30.718
45.609,-121.61,-31.061
46.496,-122.5,-29.86
46.851,-123.212,-30.89
47.739,-123.746,-29.002
49.691,-124.281,-29.174
50.578,-124.815,-30.032
50.401,-126.417,-27.801
52.885,-125.705,-27.114
53.95,-126.417,-27.114
55.015,-126.773,-25.055
56.434,-126.773,-24.712
59.451,-127.308,-23.511
61.404,-127.486,-23.339
62.113,-126.061,-23.339
63.178,-127.129,-22.309
64.066,-127.664,-24.197
65.308,-127.842,-20.936
65.84,-125.527,-21.108
67.97,-123.39,-21.451
68.68,-125.883,-20.078
69.744,-123.746,-19.735
71.342,-125.349,-19.564
70.987,-122.856,-19.907
73.471,-121.076,-20.593
73.116,-123.212,-20.25
74.714,-120.542,-19.392
75.246,-120.363,-18.534
76.843,-119.117,-20.422
74.891,-120.72,-18.191
77.198,-117.693,-19.392
77.73,-116.446,-18.877
80.215,-116.446,-18.877
78.795,-113.954,-20.25
83.232,-112.351,-18.019
82.167,-110.214,-17.676
81.812,-109.146,-17.333
83.409,-106.119,-17.847
83.232,-103.805,-17.676
82.522,-105.585,-18.019
82.345,-103.27,-17.847
82.167,-101.312,-17.676
81.99,-101.846,-19.22
81.99,-100.066,-17.161
81.812,-99.887,-18.362
82.345,-96.504,-19.22
81.99,-95.436,-19.22
83.409,-94.724,-18.877
81.812,-93.121,-19.049
80.747,-92.053,-21.794
80.215,-91.163,-19.564
78.973,-88.848,-20.765
79.328,-88.136,-21.451
78.618,-87.424,-21.794
75.068,-84.931,-22.138
75.246,-82.972,-23.339
73.294,-82.438,-24.54
72.052,-82.26,-24.369
71.874,-82.082,-25.227
70.277,-80.836,-25.398
67.615,-81.37,-26.256
65.663,-77.631,-27.458
67.437,-79.768,-26.085
63.001,-79.589,-28.316
62.291,-78.165,-27.972
61.049,-77.631,-29.517
60.161,-76.385,-29.345
58.032,-78.877,-31.405
57.144,-78.699,-31.919
56.612,-79.233,-32.434
55.725,-80.124,-33.292
54.482,-78.877,-32.434
51.465,-79.411,-32.606
52.353,-81.37,-31.748
50.401,-80.836,-33.292
49.336,-81.548,-34.665
48.981,-81.904,-34.665
47.916,-83.329,-35.008
46.851,-85.465,-34.322
46.141,-86.89,-35.695
45.609,-86.355,-36.553
44.189,-87.78,-35.18
42.415,-90.629,-35.866
42.769,-90.629,-34.494
41.705,-91.341,-35.523
40.817,-93.656,-36.725
39.93,-94.546,-37.239
39.043,-95.08,-35.695
39.043,-96.148,-34.665
38.865,-98.463,-37.583
38.333,-99.709,-36.381
39.398,-102.202,-36.381
38.688,-100.422,-35.695
38.865,-102.736,-36.21
37.445,-104.517,-35.18
38.51,-107.01,-36.21
39.575,-110.214,-35.18
38.155,-111.283,-33.464
38.865,-111.283,-34.837
39.398,-111.105,-33.292
39.575,-113.063,-33.464
41.705,-113.063,-33.121
41.882,-115.734,-33.292
41.527,-116.09,-32.263
42.592,-118.939,-31.919
44.367,-119.295,-31.576
44.544,-120.185,-29.688
48.271,-122.856,-28.83
47.384,-124.103,-29.345
49.868,-125.171,-29.002
50.223,-125.171,-27.629
51.643,-125.171,-27.972
53.063,-127.308,-26.943
54.837,-126.595,-26.6
51.998,-126.239,-26.943
54.482,-125.171,-27.629
55.725,-126.061,-26.771
55.725,-127.842,-25.398
57.144,-127.486,-22.996
57.854,-128.198,-25.055
59.984,-126.061,-24.369
61.049,-127.129,-23.339
60.516,-128.02,-22.481
62.113,-129.266,-23.682
66.373,-126.773,-22.652
66.018,-125.349,-19.907
66.728,-126.061,-21.623
68.68,-126.595,-21.108
67.437,-126.773,-19.907
68.325,-125.883,-20.422
68.325,-124.815,-19.735
69.744,-124.815,-20.765
70.809,-121.966,-19.735
72.761,-122.144,-18.877
74.714,-119.829,-18.705
77.198,-117.693,-18.362
76.666,-117.159,-18.877
77.73,-115.734,-18.191
79.15,-115.734,-18.534
80.038,-114.844,-17.676
80.57,-113.597,-18.534
80.747,-111.283,-17.676
82.167,-110.571,-17.676
81.457,-110.927,-18.705
82.522,-109.146,-16.303
82.877,-107.366,-18.362
81.99,-105.763,-17.161
82.877,-103.449,-17.676
82.522,-102.024,-18.019
82.7,-100.066,-18.534
82.522,-97.395,-19.049
83.054,-97.929,-18.534
81.457,-95.614,-19.392
83.587,-94.546,-19.392
80.038,-94.546,-18.705
79.86,-93.3,-19.22
80.215,-91.875,-19.907
