magX,magY,magZ
64.42,-124.459,-24.883
65.84,-123.39,-25.57
67.615,-124.815,-25.227
68.325,-124.103,-22.824
71.874,-123.39,-22.481
73.294,-119.829,-22.481
74.714,-118.405,-22.481
75.778,-117.337,-22.481
76.311,-118.227,-22.652
78.44,-116.09,-20.593
78.795,-115.022,-20.936
81.99,-112.529,-20.25
79.683,-110.214,-19.049
81.635,-110.036,-19.907
81.457,-108.79,-19.735
82.7,-107.544,-18.534
83.942,-106.297,-18.705
84.119,-104.695,-18.534
82.877,-104.517,-20.422
83.942,-103.805,-18.705
84.119,-101.49,-18.877
84.297,-100.244,-19.735
82.522,-98.819,-20.078
83.587,-98.463,-19.735
82.7,-95.792,-19.564
84.652,-96.683,-20.422
82.7,-93.656,-20.25
83.054,-93.3,-20.25
83.054,-91.875,-21.966
81.457,-90.273,-21.794
82.522,-88.492,-21.794
81.457,-87.424,-22.824
79.328,-85.999,-23.854
80.038,-83.863,-24.197
78.44,-84.041,-23.339
78.44,-81.192,-23.682
77.73,-81.548,-25.055
77.73,-80.124,-26.085
74.004,-77.453,-26.6
74.181,-77.275,-26.085
72.761,-76.563,-27.801
71.342,-76.206,-27.801
72.939,-76.028,-27.286
69.744,-75.672,-29.002
69.567,-75.138,-28.83
69.744,-75.672,-29.002
66.55,-74.604,-30.718
65.485,-74.248,-30.375
64.42,-73.536,-32.091
63.356,-73.892,-30.375
62.646,-73.892,-33.464
61.404,-73.358,-32.263
58.032,-73.892,-33.121
59.096,-73.892,-31.748
56.612,-73.536,-32.777
55.725,-74.426,-32.263
54.66,-76.919,-35.008
52.708,-76.385,-35.866
51.82,-76.563,-35.008
49.691,-75.494,-36.381
48.803,-78.877,-37.583
46.851,-79.411,-36.725
47.206,-79.411,-38.441
44.722,-80.48,-38.097
46.141,-80.124,-37.411
45.609,-81.014,-37.583
44.722,-82.26,-37.754
43.124,-83.151,-38.269
43.302,-83.685,-38.097
42.592,-85.109,-39.813
42.415,-86.712,-38.269
40.995,-88.492,-38.955
40.462,-90.095,-40.157
42.237,-90.451,-39.127
40.64,-91.697,-38.955
40.462,-93.3,-39.47
39.22,-94.902,-38.612
38.155,-94.902,-37.926
38.333,-96.148,-38.784
38.155,-97.751,-39.299
37.8,-100.244,-38.269
38.688,-100.778,-38.441
38.865,-103.805,-40.328
39.22,-104.161,-38.269
38.688,-106.119,-36.725
37.268,-104.695,-36.725
38.51,-106.653,-36.896
39.753,-109.324,-36.725
41.882,-111.817,-34.665
41.705,-113.776,-34.15
42.415,-115.556,-34.15
45.254,-117.337,-33.807
45.254,-118.761,-32.777
47.029,-120.898,-31.061
48.448,-120.185,-30.718
49.868,-121.966,-32.091
52.53,-122.856,-30.547
54.305,-123.568,-30.203
55.015,-124.281,-27.801
56.434,-124.281,-26.428
59.629,-123.925,-27.801
59.629,-123.568,-25.741
61.226,-124.103,-26.6
63.711,-125.527,-23.167
64.775,-123.39,-23.167
65.485,-123.39,-24.54
67.26,-122.678,-22.824
68.502,-122.144,-22.652
