magX,magY,magZ
19.876,-63.031,-8.924
17.392,-61.962,-9.61
16.504,-60.004,-9.782
14.375,-62.14,-11.498
13.665,-61.072,-11.841
11.713,-60.538,-11.326
13.487,-59.113,-13.386
11.89,-59.291,-13.214
11.358,-58.401,-13.729
9.051,-56.799,-13.9
9.406,-56.799,-13.214
6.921,-53.95,-14.244
6.921,-51.813,-16.646
6.034,-51.991,-14.758
6.034,-49.142,-15.788
5.856,-48.608,-14.93
6.389,-48.43,-16.131
5.501,-46.472,-15.616
4.614,-46.294,-16.475
3.904,-43.801,-17.847
4.082,-41.13,-19.049
2.839,-39.884,-16.475
3.549,-39.172,-19.564
4.259,-38.103,-18.191
6.034,-37.035,-19.22
5.147,-35.789,-18.705
5.501,-34.008,-18.362
6.034,-33.118,-17.161
6.389,-33.118,-19.22
6.389,-30.981,-19.564
6.211,-29.735,-20.422
7.631,-29.023,-17.333
8.163,-27.42,-19.564
7.809,-24.571,-18.191
10.825,-24.393,-18.362
11.535,-23.325,-18.362
11.89,-24.393,-18.362
14.552,-22.435,-18.534
15.44,-20.832,-18.705
16.859,-20.832,-16.989
18.811,-20.298,-18.191
18.989,-19.408,-17.676
19.876,-19.942,-17.161
20.586,-19.586,-17.161
22.361,-18.874,-15.788
23.603,-17.627,-17.333
25.733,-17.983,-15.96
26.797,-18.696,-14.244
27.862,-17.983,-15.616
29.992,-19.408,-14.244
33.186,-18.696,-12.184
33.186,-19.052,-13.9
34.251,-19.764,-11.841
36.913,-20.654,-11.326
39.043,-20.654,-10.297
37.8,-23.681,-10.811
39.93,-23.681,-10.125
39.753,-22.791,-10.983
42.237,-25.283,-10.64
42.592,-26.352,-9.61
43.834,-27.242,-10.125
44.544,-29.023,-10.125
44.367,-31.337,-8.58
45.432,-32.406,-7.551
45.254,-33.296,-7.036
45.786,-35.967,-7.551
45.254,-35.789,-7.379
46.851,-39.172,-5.148
47.916,-40.596,-6.178
46.319,-41.13,-5.663
47.206,-42.02,-5.492
46.141,-45.938,-5.148
47.384,-45.403,-3.947
46.319,-48.964,-3.261
44.544,-50.033,-4.633
43.479,-50.033,-3.947
45.609,-52.882,-5.32
43.834,-51.813,-3.947
43.834,-53.594,-3.261
41.882,-54.84,-4.462
41.35,-55.018,-4.977
42.237,-55.908,-3.432
39.753,-55.908,-5.835
37.445,-58.579,-5.32
37.445,-58.935,-6.006
34.429,-59.826,-4.805
34.251,-60.716,-4.977
33.009,-61.25,-4.462
32.121,-61.428,-6.693
33.719,-62.318,-6.521
29.992,-63.209,-8.066
30.347,-63.565,-6.006
27.862,-63.209,-9.095
26.797,-62.853,-9.095
25.378,-63.565,-6.693
24.135,-63.743,-8.58
22.361,-63.743,-7.551
21.651,-63.743,-6.521
21.296,-62.674,-9.61
17.569,-61.428,-9.782
17.747,-61.962,-10.297
15.617,-63.031,-9.953
14.73,-60.36,-10.811
13.842,-59.826,-12.356
14.02,-60.36,-13.557
12.955,-60.004,-12.871
12.955,-59.648,-13.214
10.293,-56.621,-14.072
8.341,-55.018,-13.557
8.341,-52.882,-13.557
6.566,-53.238,-13.9
7.099,-53.416,-13.729
6.389,-49.142,-15.788
6.566,-49.677,-15.273
4.969,-46.65,-17.847
5.679,-43.089,-17.161
4.792,-43.623,-16.303
5.147,-42.911,-16.646
4.969,-40.952,-18.534
4.437,-39.35,-18.705
4.969,-39.172,-17.161
4.792,-37.569,-18.019
5.147,-37.213,-18.362
5.501,-36.857,-19.735
5.856,-34.364,-20.078
6.211,-33.296,-19.049
3.904,-34.542,-18.877
6.211,-32.94,-19.735
8.163,-30.981,-19.564
7.631,-29.735,-18.705
8.518,-28.845,-18.191
7.809,-28.132,-18.191
9.406,-26.886,-18.705
11.18,-26.174,-19.392
11.89,-25.818,-19.049
11.535,-23.681,-19.049
13.133,-21.722,-18.534
15.262,-21.366,-18.877
15.972,-21.01,-18.534
19.344,-19.052,-16.989
19.166,-19.23,-17.504
19.876,-18.874,-17.504
22.006,-18.161,-17.504
23.248,-18.696,-16.646
24.49,-16.737,-15.788
28.395,-18.161,-14.758
27.862,-16.559,-14.587
30.524,-18.874,-12.699
31.057,-17.983,-14.587
31.589,-18.517,-14.415
31.944,-19.23,-14.415
34.074,-19.586,-13.386
35.316,-20.476,-12.184
37.445,-21.544,-12.184
