magX,magY,magZ
45.432,-47.362,4.805
46.141,-47.006,4.805
45.609,-44.691,4.29
43.834,-44.335,2.917
42.769,-44.335,2.231
40.995,-43.623,2.231
40.817,-43.801,1.716
39.22,-43.267,2.231
37.978,-42.376,0.686
36.203,-42.733,1.716
34.606,-42.198,1.201
35.316,-42.198,-0.172
33.719,-41.308,-0.686
33.896,-42.555,-0.172
33.364,-43.089,-0.686
32.121,-42.198,-1.544
31.767,-42.555,-0.515
29.282,-43.267,-2.917
28.217,-42.555,-1.888
27.685,-43.089,-1.716
27.685,-43.445,-2.403
23.426,-44.869,-3.432
22.893,-44.335,-4.29
21.296,-47.006,-3.775
19.521,-46.294,-3.775
20.764,-46.116,-3.261
20.231,-48.074,-5.835
18.102,-49.855,-3.089
18.279,-48.608,-4.977
17.924,-51.101,-4.29
16.682,-51.279,-4.805
16.327,-51.991,-3.775
14.375,-54.662,-3.604
14.02,-55.374,-3.261
13.842,-56.977,-4.805
13.31,-58.223,-4.29
12.423,-58.045,-3.775
13.842,-59.47,-3.432
11.535,-61.072,-4.29
13.133,-60.894,-3.775
12.068,-61.606,-4.119
11.713,-61.962,-3.432
12.245,-62.496,-3.947
12.6,-62.853,-1.888
11.18,-64.277,-2.574
11.535,-66.77,-2.574
11.89,-66.77,-2.917
11.713,-67.66,-2.403
11.713,-69.44,-0.343
11.713,-70.865,-2.403
11.89,-71.043,-2.574
12.778,-70.509,-2.059
12.955,-73.18,-1.201
12.6,-75.672,-0.515
14.197,-74.782,-0.343
14.02,-75.672,0.515
14.375,-77.097,0.515
14.02,-78.877,0.172
15.972,-79.055,-0.343
13.665,-79.946,1.201
17.747,-79.768,-0.686
16.327,-79.055,0.686
17.392,-81.548,1.373
17.037,-82.616,1.716
20.231,-83.329,3.775
19.166,-84.041,2.746
21.651,-85.109,2.403
20.941,-86.177,3.089
22.716,-84.753,3.432
23.603,-86.712,3.947
23.071,-85.821,4.805
26.088,-87.78,4.977
27.685,-87.246,6.864
29.105,-86.177,7.894
30.347,-87.78,5.32
29.814,-86.89,5.492
29.814,-89.382,6.521
30.169,-87.958,7.551
32.299,-88.67,8.237
33.896,-88.136,8.066
35.493,-86.534,7.894
36.203,-88.314,7.551
37.8,-87.424,8.409
37.268,-87.246,8.58
38.155,-87.068,9.782
39.753,-87.246,9.953
41.882,-84.753,10.297
42.415,-84.575,10.468
42.06,-83.863,9.439
44.367,-83.685,10.983
44.899,-82.794,11.155
44.544,-82.794,10.811
47.561,-80.124,9.61
48.626,-80.124,12.699
48.448,-78.165,11.498
48.803,-78.521,11.841
50.578,-77.453,12.528
51.465,-77.275,11.669
51.288,-73.892,10.811
51.998,-75.316,12.184
52.175,-72.289,10.64
53.24,-69.797,10.297
55.547,-68.194,11.498
54.127,-67.838,10.125
55.725,-68.016,9.953
54.482,-66.77,10.125
55.725,-64.811,10.297
53.95,-63.743,9.953
