magX,magY,magZ
30.702,-46.472,-16.303
31.234,-45.581,-16.475
31.944,-47.718,-16.475
31.767,-50.745,-13.557
31.944,-50.567,-14.072
34.074,-51.279,-12.356
34.606,-53.95,-10.125
35.138,-53.772,-10.983
34.606,-55.374,-10.468
36.381,-56.799,-7.722
36.203,-57.689,-6.521
38.155,-57.155,-5.32
38.688,-58.757,-5.492
39.93,-59.291,-2.574
41.882,-58.757,0.0
42.06,-60.716,-2.231
43.479,-58.579,-0.172
44.899,-58.935,1.888
45.964,-57.511,2.917
47.384,-57.867,5.32
49.513,-56.799,6.35
48.626,-56.265,6.521
49.336,-55.908,8.237
51.288,-55.374,9.095
50.578,-54.306,10.468
50.578,-54.662,10.811
54.127,-51.813,12.528
52.175,-51.991,11.669
54.482,-49.677,12.871
54.482,-47.184,14.587
56.08,-45.938,15.102
53.772,-43.267,15.96
54.837,-41.842,14.93
54.482,-40.774,15.96
56.612,-38.637,15.616
54.837,-37.213,14.587
55.547,-35.076,17.333
56.257,-34.364,14.244
55.192,-32.584,14.587
55.015,-30.625,15.788
56.08,-30.625,13.042
54.837,-27.954,12.528
53.595,-26.708,12.356
52.175,-24.571,10.64
54.837,-22.969,9.782
52.53,-23.147,9.267
53.063,-23.325,8.752
51.82,-21.01,7.208
51.288,-19.764,7.379
48.271,-19.942,6.521
48.094,-17.271,4.977
48.803,-16.915,3.261
47.384,-17.271,3.261
47.561,-17.093,1.03
47.206,-17.805,0.343
44.544,-16.915,-0.858
43.834,-15.491,-3.261
43.657,-15.313,-2.746
43.479,-15.491,-3.947
43.124,-14.422,-5.32
41.35,-16.559,-4.29
39.575,-15.847,-5.663
39.93,-15.134,-6.35
40.64,-16.559,-8.066
38.688,-16.737,-9.61
39.043,-17.093,-10.297
37.623,-17.449,-10.983
35.848,-18.517,-11.326
36.558,-20.298,-13.042
36.381,-19.764,-12.871
34.606,-19.764,-13.9
32.654,-22.079,-13.042
33.009,-22.791,-15.445
33.364,-23.147,-15.788
30.524,-24.927,-17.504
32.654,-25.996,-16.818
31.057,-29.023,-16.989
31.944,-29.201,-18.191
29.637,-30.091,-18.362
30.169,-32.406,-16.131
29.814,-33.474,-18.877
30.524,-34.542,-17.504
30.169,-34.898,-19.22
29.992,-36.857,-18.362
29.637,-39.706,-18.362
30.879,-42.733,-17.504
30.879,-41.664,-16.818
32.121,-43.267,-17.333
31.589,-45.938,-15.788
30.524,-43.801,-16.818
30.524,-46.294,-15.788
31.944,-48.43,-15.102
32.121,-49.677,-15.96
33.009,-48.786,-13.729
33.009,-51.279,-13.729
33.364,-52.347,-14.072
34.074,-52.704,-12.013
34.783,-53.772,-11.669
36.736,-54.662,-10.125
36.381,-56.087,-7.036
36.736,-56.443,-6.35
39.043,-57.333,-4.805
39.22,-58.223,-3.604
40.285,-58.579,-3.947
40.462,-58.045,-2.059
41.35,-57.155,-2.574
42.237,-59.113,0.686
44.544,-58.579,-0.172
44.012,-59.113,1.03
45.786,-58.401,3.089
44.722,-58.401,4.462
44.544,-57.511,4.977
46.674,-58.935,6.35
48.803,-56.087,7.036
49.513,-57.511,8.066
50.401,-55.908,11.326
50.223,-56.799,9.782
51.288,-53.594,11.498
52.175,-51.991,13.042
51.82,-53.06,12.013
53.063,-51.813,10.811
54.127,-50.389,13.557
52.53,-49.142,13.386
54.305,-48.786,13.729
55.547,-45.403,14.244
56.434,-42.376,16.475
56.08,-39.528,15.102
55.902,-36.857,13.9
56.257,-35.789,15.616
55.902,-36.145,15.273
56.08,-32.762,14.072
53.418,-31.871,14.93
56.434,-30.981,13.729
54.482,-29.735,13.214
55.37,-29.201,14.415
53.772,-27.242,12.871
54.305,-27.064,11.669
53.063,-26.174,11.155
51.998,-25.105,11.155
52.353,-23.681,11.498
52.53,-23.147,11.669
52.708,-22.257,10.468
51.288,-21.544,8.066
50.578,-20.12,8.409
49.158,-19.408,5.32
49.513,-18.696,6.35
48.094,-17.627,1.888
46.674,-17.627,2.574
46.674,-16.559,1.544
45.254,-16.559,0.858
44.012,-15.669,-1.373
45.609,-15.491,-2.231
44.012,-14.956,-5.492
