magX,magY,magZ
-32.476,163.274,-25.57
-31.412,162.562,-24.883
-30.879,163.452,-26.771
-31.589,160.959,-25.741
-31.234,162.028,-25.055
-30.702,163.274,-25.227
-29.814,160.603,-24.369
-28.572,160.069,-25.57
-28.217,160.781,-23.854
-27.33,159.179,-23.682
-29.637,159.357,-23.511
-28.04,158.823,-23.682
-29.105,156.33,-22.996
-26.975,156.33,-23.339
-27.862,158.289,-23.854
-28.395,156.686,-21.966
-27.33,157.755,-23.339
-26.088,156.864,-22.138
-26.797,156.152,-22.138
-27.685,155.618,-21.966
-26.443,153.659,-22.138
-27.33,155.974,-22.309
-27.507,154.728,-22.824
-25.555,153.125,-22.996
-26.443,155.44,-21.108
-25.91,152.769,-22.309
-25.2,153.481,-20.936
-25.91,151.701,-21.623
-25.91,152.057,-21.966
-26.088,149.742,-21.451
-24.49,150.989,-21.623
-25.733,149.742,-21.108
-25.555,148.852,-20.936
-24.845,148.496,-21.966
-25.023,147.962,-20.765
-26.265,147.071,-19.564
-26.088,147.249,-22.138
-26.797,145.113,-21.794
-25.91,146.003,-20.25
-26.088,145.469,-20.765
-26.797,144.044,-23.511
-25.555,143.154,-21.28
-25.91,142.086,-21.28
-25.733,142.264,-21.794
-25.91,141.374,-20.25
-26.443,141.196,-20.765
-28.04,139.949,-20.593
-27.33,141.374,-20.593
-25.91,139.593,-21.623
-26.088,139.771,-21.108
-27.33,141.018,-20.593
-26.975,138.525,-19.907
-29.282,136.21,-21.451
-28.217,136.21,-22.138
-27.862,136.922,-21.108
-28.75,136.032,-22.309
-28.75,135.676,-22.996
-29.814,134.608,-22.309
-29.282,134.43,-20.765
-29.992,134.43,-20.765
-29.992,134.43,-21.794
-29.105,134.608,-21.28
-29.282,133.717,-21.451
-30.702,133.361,-22.481
-32.121,133.005,-22.824
-30.879,131.759,-22.309
-31.589,132.827,-21.28
-30.524,131.403,-21.966
-32.299,131.759,-23.339
-32.476,132.649,-21.451
-33.364,129.266,-21.966
-33.009,131.403,-22.652
-32.654,128.91,-24.025
-34.074,130.334,-23.339
-33.719,129.622,-25.055
-33.719,128.91,-23.682
-35.316,129.088,-23.167
-33.364,128.198,-24.025
-35.138,127.842,-22.996
-35.671,126.951,-24.197
-35.138,128.91,-24.712
-35.493,126.773,-22.996
-37.8,128.02,-24.197
-37.978,126.773,-23.682
-38.333,126.061,-23.682
-38.688,125.705,-25.398
-37.8,127.664,-25.913
-40.64,126.239,-24.54
-40.285,126.239,-25.913
-40.285,124.459,-25.913
-40.64,125.527,-25.57
-40.462,125.705,-25.055
-40.285,124.459,-25.227
-40.995,125.883,-25.227
-40.995,125.171,-26.6
-41.882,125.349,-26.085
-41.527,124.281,-26.771
-41.527,124.637,-26.428
-42.947,125.349,-27.114
-43.657,125.705,-26.428
-42.947,124.993,-27.114
-42.237,124.993,-27.114
-43.834,123.746,-27.286
-44.012,125.349,-26.771
-45.786,124.281,-27.458
-45.432,122.856,-27.801
-45.254,122.678,-27.629
-47.384,124.103,-29.688
-47.739,124.815,-28.316
-47.029,124.459,-27.972
-47.916,123.925,-29.174
-48.271,124.281,-28.83
-48.271,122.856,-29.174
-50.578,124.459,-29.345
-50.933,125.171,-30.375
-49.691,124.637,-30.203
-51.465,125.705,-31.233
-51.998,125.527,-30.375
-52.175,124.637,-31.233
-51.998,126.239,-29.688
-53.418,125.883,-31.061
-54.66,126.061,-33.292
-55.37,125.705,-32.606
-54.837,126.951,-32.434
-55.902,126.239,-32.434
-55.37,126.061,-32.606
-57.144,127.842,-34.322
-57.144,127.486,-35.352
-57.854,127.486,-34.322
-58.209,127.842,-33.292
