magX,magY,magZ
33.009,-73.358,4.462
34.783,-73.358,4.805
34.074,-75.494,4.805
34.429,-79.055,5.148
34.606,-79.589,4.977
34.961,-81.726,3.261
33.896,-83.507,5.32
33.719,-81.548,4.805
34.429,-85.821,4.805
33.186,-87.78,4.977
31.944,-85.821,5.148
32.654,-88.67,4.462
31.589,-90.451,5.492
30.879,-90.807,5.148
29.637,-93.478,3.947
29.992,-94.902,4.977
27.685,-94.724,4.462
27.507,-95.97,4.977
24.49,-97.929,4.119
23.248,-98.819,4.633
22.006,-100.422,5.492
21.651,-100.066,6.178
20.231,-99.353,5.148
19.521,-100.422,5.148
18.989,-101.668,4.633
15.972,-102.914,4.119
11.89,-102.38,4.977
12.423,-103.627,5.835
9.051,-103.805,3.604
7.099,-103.27,3.089
6.034,-102.914,4.119
4.082,-101.668,3.261
4.082,-101.668,3.604
4.259,-101.846,3.089
2.662,-102.024,1.544
1.775,-102.914,2.059
0.532,-102.736,0.515
-0.532,-102.38,3.261
-2.307,-99.175,1.888
-3.194,-98.641,0.686
-3.549,-98.285,2.059
-4.082,-98.463,0.515
-4.259,-97.929,0.686
-6.389,-96.148,0.686
-7.809,-96.148,1.03
-6.744,-96.148,1.03
-7.986,-94.902,2.574
-8.873,-94.724,1.03
-9.761,-93.834,0.858
-9.761,-91.697,-0.172
-9.761,-90.985,0.172
-11.358,-90.807,-1.373
-11.003,-91.163,-0.343
-12.068,-88.314,-0.343
-11.003,-88.314,1.03
-12.778,-86.534,-1.03
-13.31,-84.931,-1.201
-12.6,-83.507,-0.858
-12.955,-82.082,-1.544
-13.487,-81.904,-1.03
-12.245,-79.946,-0.172
-12.955,-79.233,-0.172
-13.487,-78.699,-0.343
-13.487,-78.699,-0.686
-13.487,-76.563,-1.373
-12.423,-76.919,0.343
-12.955,-74.96,-0.515
-14.02,-73.892,-3.261
-11.89,-73.18,-3.604
-13.487,-72.645,-1.373
-12.778,-70.865,-0.686
-10.825,-68.194,-3.261
-9.051,-68.906,-1.888
-7.809,-66.236,-2.746
-9.406,-63.921,-1.201
-7.986,-64.633,-0.858
-8.518,-62.674,-1.716
-5.856,-62.496,-1.544
-6.034,-61.25,-1.03
-4.792,-61.428,-2.917
-4.792,-58.579,-1.888
-2.839,-59.113,-2.403
-1.952,-57.155,-2.574
-1.597,-58.935,-1.888
-0.355,-57.689,-1.03
0.0,-56.621,-1.716
0.355,-55.908,-1.373
1.597,-55.73,-1.544
3.727,-55.374,-1.201
3.904,-54.484,-1.716
6.389,-55.552,-1.03
7.809,-54.484,-0.686
7.809,-53.416,-0.686
8.341,-53.95,-1.544
11.003,-51.991,0.0
11.89,-53.238,-0.172
12.778,-53.772,-0.686
15.617,-53.416,1.03
14.907,-54.484,-0.343
19.699,-52.525,0.515
20.586,-54.128,1.373
21.296,-57.689,0.343
23.426,-55.908,0.686
24.135,-57.333,2.403
22.183,-56.799,1.544
23.781,-57.689,1.03
23.426,-57.689,1.03
26.265,-58.045,2.059
26.797,-58.935,2.231
27.685,-59.113,3.089
28.572,-60.716,2.231
28.927,-61.072,2.231
30.169,-61.962,1.716
29.459,-61.25,2.746
29.814,-62.318,2.403
30.524,-62.674,2.059
31.412,-63.921,3.604
30.879,-64.099,3.432
33.009,-67.304,3.089
31.944,-67.304,4.119
34.606,-69.619,3.261
36.026,-69.975,3.604
34.429,-72.645,3.089
34.606,-73.892,4.633
35.493,-74.07,4.462
33.186,-73.18,3.261
35.493,-74.07,4.462
35.671,-75.672,4.633
36.736,-76.741,5.663
34.251,-79.589,5.663
35.671,-78.521,5.32
34.606,-79.589,4.29
34.783,-80.836,4.805
34.961,-82.794,5.32
36.203,-82.972,5.148
34.961,-83.151,5.32
32.299,-85.821,6.178
34.251,-84.575,5.663
33.364,-85.465,6.178
33.541,-85.999,4.977
34.074,-87.958,5.148
31.767,-87.424,5.32
32.654,-88.314,4.805
31.944,-89.026,4.805
31.944,-89.738,5.835
33.719,-90.807,5.492
30.169,-91.875,5.492
30.169,-94.012,6.521
28.395,-95.08,5.148
28.927,-96.326,4.977
26.443,-95.258,4.633
26.443,-96.326,6.35
27.152,-97.039,4.633
24.135,-98.997,5.492
24.135,-97.573,5.835
23.781,-98.997,4.119
20.054,-99.887,4.633
20.586,-100.422,5.492
20.586,-101.134,4.805
18.811,-102.202,5.492
16.149,-102.024,4.29
15.262,-102.202,4.462
14.552,-102.202,4.462
15.795,-102.024,5.663
14.375,-102.024,4.977
12.955,-103.805,4.633
12.423,-103.983,5.492
11.003,-103.627,3.432
9.051,-103.092,4.29
8.696,-103.449,3.604
6.389,-102.202,3.089
3.727,-102.38,3.604
2.662,-102.38,2.574
1.597,-101.668,2.574
0.887,-101.668,1.544
0.0,-102.202,2.746
-1.952,-100.956,2.574
-2.839,-100.422,2.746
-0.177,-99.531,2.574
-3.017,-99.887,1.888
-4.437,-97.751,1.201
-5.856,-97.395,1.544
-5.856,-97.751,1.201
-6.921,-94.902,1.888
-7.809,-95.08,1.373
-11.003,-94.368,1.373
-8.518,-94.368,0.0
-9.406,-93.478,0.172
-8.873,-94.012,-0.343
-9.938,-91.519,1.03
-10.116,-93.834,0.515
-10.293,-91.875,0.343
-10.471,-92.053,0.172
-10.293,-89.026,-0.343
-12.423,-89.026,0.0
-11.003,-88.314,0.686
-12.068,-86.89,-0.343
-13.487,-85.821,0.686
-13.665,-83.863,-0.172
-12.6,-83.151,0.515
-12.955,-81.726,-1.888
-13.133,-81.904,-1.716
-11.89,-80.658,-0.858
-13.487,-80.836,-1.03
-12.423,-77.987,-1.03
-13.665,-77.097,-1.888
-14.552,-75.494,-0.343
-13.133,-76.206,0.686
-13.842,-74.07,-1.716
-11.535,-72.823,-0.858
-12.955,-72.467,-1.544
-11.003,-73.002,-2.403
-13.133,-71.221,-1.716
-10.471,-70.687,-0.858
-11.713,-69.797,-2.403
-8.696,-67.126,-1.888
-9.938,-67.66,-1.373
-9.228,-66.592,-1.716
-10.825,-65.701,-1.888
-9.583,-65.879,-3.089
-7.099,-64.099,-1.373
-7.986,-61.784,-1.544
-7.809,-61.25,-2.746
-6.211,-61.428,-2.231
-4.437,-60.004,-0.515
-4.259,-60.182,-2.746
-5.324,-58.757,-2.746
-2.485,-57.689,-1.03
-1.242,-56.443,-2.917
-2.13,-58.045,-1.373
1.42,-55.908,-1.373
0.355,-55.908,-1.03
3.904,-55.908,-1.716
3.194,-55.196,-1.373
4.792,-54.306,-2.574
3.727,-55.018,-1.201
7.631,-54.662,-0.172
6.744,-54.484,-2.403
8.518,-53.416,-1.716
9.228,-52.704,-0.343
8.518,-53.416,-0.686
11.713,-53.06,-1.03
14.02,-52.525,-1.201
12.6,-55.018,-0.515
15.795,-53.95,-0.858
18.102,-54.484,0.0
17.392,-54.84,0.0
17.747,-53.416,1.03
18.811,-54.84,0.686
18.279,-54.662,0.858
21.473,-56.799,0.858
23.426,-56.265,1.03
24.313,-57.155,0.515
24.845,-59.113,1.716
24.313,-57.867,0.515
23.958,-58.223,0.172
26.797,-58.935,1.888
27.33,-58.757,1.716
27.862,-61.072,2.917
31.589,-61.606,3.089
31.767,-62.853,2.231
31.767,-64.277,1.201
32.476,-66.057,2.917
33.364,-67.304,3.432
33.186,-67.126,4.633
33.541,-71.043,3.604
34.783,-68.728,2.746
33.009,-72.645,3.775
34.429,-72.289,4.462
35.138,-75.138,6.178
34.606,-75.672,4.29
34.961,-77.097,3.604
34.429,-78.699,4.805
34.251,-80.302,4.633
34.251,-79.946,6.006
34.783,-81.548,5.835
35.316,-81.37,6.006
35.316,-82.082,4.633
34.074,-83.329,5.148
33.541,-83.507,5.663
34.783,-85.465,4.805
33.364,-85.821,5.148
34.251,-87.424,5.32
33.719,-87.602,5.148
30.879,-88.314,5.835
30.169,-88.314,5.492
31.234,-92.231,6.864
31.057,-92.053,4.633
30.524,-93.3,4.119
28.75,-93.3,5.835
29.282,-94.902,4.29
26.797,-95.258,5.32
24.135,-97.217,6.178
24.49,-96.861,6.521
26.088,-98.819,4.977
23.603,-98.107,4.29
21.473,-99.531,4.29
22.183,-100.6,4.29
21.828,-100.244,5.32
20.231,-99.353,3.775
19.876,-101.846,4.805
18.102,-102.202,4.805
17.747,-100.422,4.805
15.617,-102.558,3.775
16.504,-102.024,5.32
14.552,-101.846,3.775
13.133,-102.558,4.462
11.713,-102.914,5.148
10.648,-102.558,4.462
9.583,-103.27,4.119
8.696,-103.805,2.231
6.389,-102.558,3.432
4.082,-102.38,3.947
5.324,-102.558,3.775
2.13,-101.846,3.089
2.485,-101.49,3.089
2.485,-101.49,2.403
1.775,-101.49,2.746
-0.177,-100.956,1.544
0.177,-100.956,1.888
-0.177,-100.956,2.231
-2.839,-101.49,2.059
1.065,-101.134,1.716
-1.952,-99.887,1.888
-2.13,-99.709,2.746
-3.194,-97.929,1.373
-4.082,-97.039,1.201
-3.904,-99.709,2.403
-4.259,-98.285,2.059
-6.389,-96.148,2.059
-6.921,-94.19,1.201
-8.163,-93.3,1.716
-8.518,-92.587,-1.373
-10.825,-91.341,-0.172
-11.89,-92.053,0.515
-12.778,-89.026,0.686
-11.713,-89.026,-0.343
-12.068,-87.958,-1.716
-12.6,-85.643,-0.172
-12.955,-84.219,0.172
-11.535,-85.643,0.172
-13.31,-84.931,-0.172
-14.375,-82.794,0.172
-12.6,-81.014,-0.515
-13.31,-79.233,-0.858
-13.133,-78.699,-1.373
-14.197,-78.699,-2.746
-12.778,-77.275,-2.059
-12.778,-77.275,-1.03
-14.375,-76.385,-0.515
-13.487,-74.07,-1.03
-14.02,-73.536,-0.172
-13.487,-72.645,-1.373
-12.423,-72.289,-1.373
-11.358,-71.933,-2.059
-10.825,-69.619,-1.544
-11.535,-68.194,-1.544
-9.051,-66.414,-1.201
-10.471,-66.414,-0.858
-9.228,-66.236,-2.403
-9.938,-63.387,-1.03
-8.518,-66.592,-0.686
-8.163,-64.455,-2.059
-7.276,-63.565,-1.888
-5.679,-61.606,-2.059
-6.744,-61.25,-1.373
-5.324,-60.894,-2.746
-4.259,-59.47,-1.373
-3.372,-60.004,-1.888
-3.017,-58.935,-1.888
-1.775,-59.113,-2.403
-1.242,-57.511,-1.201
-0.887,-57.155,-0.515
-1.242,-56.087,-1.201
0.177,-56.087,-2.574
1.242,-54.662,-1.201
2.307,-55.73,-1.888
2.485,-55.196,-2.059
5.324,-53.772,-0.343
7.631,-53.594,-1.888
7.099,-53.416,-1.373
9.583,-53.06,-1.716
9.938,-53.772,-2.059
11.003,-53.06,-1.03
12.423,-51.991,-1.03
13.487,-54.484,-0.343
15.44,-55.018,0.172
16.682,-53.416,0.343
16.504,-55.018,0.172
18.811,-55.196,0.686
20.231,-54.128,0.343
21.296,-55.196,1.03
22.183,-56.443,2.231
22.893,-56.087,1.201
23.426,-57.689,1.03
24.668,-56.799,0.515
26.62,-57.333,2.059
27.685,-60.182,1.03
29.637,-60.716,3.261
28.572,-61.428,2.917
29.992,-63.565,3.261
29.992,-62.853,3.261
30.702,-63.209,4.633
32.299,-65.879,2.746
32.121,-65.701,2.917
33.719,-68.372,3.089
34.606,-69.262,4.29
33.541,-70.687,2.917
33.009,-69.084,3.089
35.671,-73.18,3.604
34.606,-73.536,4.633
34.429,-74.07,4.462
34.429,-73.714,3.775
34.783,-75.138,4.805
35.671,-77.809,5.32
36.736,-78.521,4.977
34.783,-79.768,3.432
34.961,-79.233,5.663
34.074,-81.548,4.805
34.251,-82.794,5.32
34.783,-83.329,4.462
34.251,-84.219,6.693
34.251,-84.575,7.036
33.186,-84.931,4.29
33.719,-86.177,6.178
33.009,-88.314,5.492
32.121,-87.424,6.006
31.767,-89.204,5.32
30.347,-88.492,6.35
31.412,-88.848,6.006
31.057,-92.053,4.977
28.395,-92.231,5.148
29.992,-91.697,6.006
28.75,-94.368,5.835
26.797,-93.834,5.663
28.75,-95.436,6.864
26.797,-97.395,5.32
25.378,-97.039,4.977
24.313,-99.175,5.32
21.828,-98.463,6.35
21.296,-99.353,6.178
21.651,-98.641,4.462
20.941,-101.846,5.492
20.054,-100.244,5.663
18.279,-101.668,3.604
16.149,-102.736,4.977
13.842,-102.558,4.805
14.197,-102.202,4.462
13.842,-102.202,3.775
10.116,-103.805,4.29
10.648,-103.627,4.119
7.986,-103.805,3.604
7.276,-102.736,3.947
4.969,-102.202,4.119
3.017,-101.312,3.604
1.597,-101.312,2.917
1.952,-101.668,2.917
0.177,-100.956,2.574
-0.355,-100.778,2.059
-1.42,-100.778,2.746
-2.307,-100.6,3.261
-2.839,-97.929,1.03
-4.437,-98.819,0.858
-3.194,-98.997,3.089
-3.727,-98.463,1.544
-6.389,-97.929,1.373
-7.099,-96.861,2.059
-6.744,-97.929,2.059
-6.921,-94.902,1.201
-8.163,-94.012,0.686
-9.583,-93.656,0.0
-9.051,-93.834,1.544
-8.873,-93.3,1.03
-11.358,-91.163,-0.686
-11.18,-89.56,0.515
-12.068,-86.89,0.0
-11.18,-86.712,0.515
-12.778,-84.397,-0.686
-13.487,-84.753,-0.686
-12.245,-84.575,-1.544
-13.842,-81.192,-1.716
-12.955,-80.658,-1.544
-12.955,-81.014,0.515
-13.31,-79.589,-1.544
-12.423,-78.343,-0.686
-12.245,-76.741,-0.858
-12.955,-75.672,-1.201
-12.068,-73.358,-1.716
-13.665,-73.536,-1.544
-11.535,-71.399,-1.201
-11.003,-69.797,-1.716
-11.535,-69.262,-1.201
-9.406,-68.194,-1.888
-10.471,-69.262,-1.544
-11.18,-68.906,-2.231
-10.648,-66.948,-2.059
-8.696,-67.482,-1.888
-8.873,-66.236,-2.059
-8.341,-64.989,-0.858
-7.631,-63.209,-1.201
-7.809,-61.606,-1.716
-6.034,-60.538,-1.716
-4.792,-60.36,-1.544
-4.969,-58.757,-1.716
-4.614,-58.757,-1.03
-1.775,-59.113,-1.03
-1.597,-58.223,-2.574
-2.485,-56.977,-2.059
0.0,-58.045,-2.059
0.887,-56.443,-1.888
0.887,-56.443,-1.888
1.597,-55.73,-2.231
2.839,-55.196,-2.403
2.307,-55.374,-1.888
3.194,-54.84,-1.373
6.211,-54.306,-1.201
5.679,-54.128,0.343
7.986,-55.374,-0.515
8.518,-54.484,1.373
10.471,-54.306,-0.515
11.18,-53.238,-0.858
10.116,-53.594,-1.201
11.358,-53.416,0.0
12.6,-53.95,0.515
14.375,-53.238,-0.172
13.842,-53.06,-0.686
15.085,-52.882,0.858
16.149,-53.95,1.201
17.924,-53.594,0.172
16.859,-53.594,0.858
19.876,-55.196,1.716
20.054,-53.95,1.201
20.409,-54.306,0.858
22.893,-55.73,1.201
23.426,-57.689,1.03
25.2,-56.977,1.373
25.733,-59.291,1.544
28.04,-60.182,3.089
29.459,-61.25,2.746
29.637,-62.496,1.544
31.234,-63.743,2.403
29.637,-64.277,2.574
31.944,-66.236,5.148
33.896,-66.77,3.604
32.476,-66.77,3.604
32.299,-66.592,3.089
32.654,-68.372,3.432
32.831,-68.906,3.604
33.364,-69.44,3.775
34.783,-71.577,2.746
33.364,-71.933,3.775
33.719,-72.289,4.119
34.783,-71.933,3.775
34.429,-72.645,3.775
34.783,-74.426,4.805
34.606,-76.028,4.977
35.671,-75.672,4.633
34.783,-75.85,4.805
33.896,-77.097,4.29
35.848,-78.343,5.148
34.783,-80.124,4.805
35.671,-78.877,6.006
34.606,-80.658,4.977
33.541,-83.863,5.32
34.429,-83.685,4.805
34.074,-82.616,5.835
34.429,-86.534,5.492
32.299,-86.89,5.492
32.299,-87.246,4.462
32.121,-88.136,5.663
31.234,-91.875,4.805
30.702,-89.204,6.006
29.637,-90.629,6.35
29.814,-91.519,4.805
30.347,-91.341,5.663
29.637,-93.121,4.977
29.992,-93.478,5.32
27.685,-94.012,4.805
28.217,-95.97,6.006
26.975,-95.436,5.492
26.265,-97.929,4.805
24.845,-96.504,4.805
23.603,-98.107,4.977
22.893,-99.887,3.604
20.764,-99.175,5.663
20.586,-98.641,5.148
18.634,-100.244,5.32
18.989,-102.024,4.977
16.504,-102.024,4.29
15.795,-101.312,4.977
16.504,-102.736,3.604
14.375,-103.449,4.977
14.375,-102.38,3.604
12.6,-103.092,3.604
12.778,-102.202,4.805
12.955,-102.38,4.633
11.003,-102.914,3.775
10.293,-102.558,5.148
10.825,-104.873,4.633
7.099,-102.558,3.775
7.631,-101.312,2.574
4.969,-102.202,3.775
4.792,-103.805,4.29
4.614,-102.914,2.403
3.194,-102.914,3.089
1.775,-102.558,2.403
1.952,-101.668,3.261
1.242,-101.668,2.231
-0.532,-100.244,4.29
1.775,-101.134,2.059
-0.887,-102.024,2.917
-0.71,-100.778,2.746
-2.839,-100.778,3.089
-3.017,-98.819,1.888
-4.969,-98.997,1.373
-4.437,-97.039,1.201
-4.969,-96.861,1.373
-7.454,-96.861,1.716
-6.566,-94.546,-0.172
-7.276,-95.614,0.515
-9.051,-94.546,0.858
-9.938,-92.231,0.686
