magX,magY,magZ
-32.121,126.951,-29.688
-32.476,128.02,-29.345
-33.364,126.773,-29.86
-34.251,127.664,-27.972
-34.074,126.417,-28.144
-34.251,125.883,-29.688
-33.541,126.239,-29.002
-34.606,126.595,-29.688
-34.783,123.925,-29.517
-35.493,124.993,-28.487
-35.848,124.637,-29.174
-34.961,123.39,-30.718
-38.333,125.349,-30.203
-37.623,124.637,-30.89
-38.51,124.459,-28.316
-37.978,124.281,-28.83
-38.51,123.39,-30.032
-39.575,124.103,-30.718
-40.817,123.568,-30.547
-40.462,122.144,-30.89
-40.817,122.144,-31.576
-41.882,123.212,-31.919
-42.06,122.322,-32.434
-42.592,122.144,-32.263
-41.35,122.678,-32.434
-42.415,123.39,-33.121
-44.012,122.5,-31.576
-44.189,121.966,-32.777
-44.367,123.925,-33.636
-45.964,121.254,-31.748
-45.786,121.788,-34.322
-47.739,121.61,-33.464
-47.029,121.61,-33.121
-47.206,122.5,-32.949
-45.964,123.39,-33.121
-47.561,123.568,-32.949
-48.094,121.254,-34.494
-48.981,122.144,-35.695
-49.158,123.39,-34.837
-51.288,122.678,-35.523
-48.803,122.678,-34.837
-49.336,122.856,-34.322
-49.868,123.39,-35.523
-50.756,123.925,-34.665
-47.916,123.568,-34.665
-49.513,123.39,-33.807
-51.643,123.746,-35.866
-52.175,125.349,-35.352
-52.175,123.925,-36.381
-52.353,124.103,-35.866
-52.53,123.925,-35.008
-54.482,124.103,-37.239
-54.127,124.815,-36.553
-54.66,125.349,-36.725
-56.08,126.061,-37.411
-55.725,126.417,-36.725
-56.257,126.951,-36.553
-56.257,126.951,-36.896
-56.612,129.088,-36.553
-56.612,126.595,-38.955
-57.322,127.664,-37.239
-56.434,127.842,-38.097
-57.144,128.198,-38.441
-57.677,128.02,-37.239
-57.499,128.198,-37.754
-58.564,128.554,-37.754
-57.677,128.376,-40.328
-59.451,129.088,-38.269
-59.096,131.225,-38.269
-57.322,130.156,-37.926
-60.161,130.156,-39.299
-60.694,131.759,-39.127
-60.516,131.937,-38.955
-60.161,132.649,-37.583
-61.049,132.115,-39.127
-61.226,132.649,-39.299
-60.871,133.005,-39.642
-62.468,136.032,-40.5
-62.291,134.43,-40.672
-61.581,135.142,-39.985
-62.646,135.854,-39.642
-62.291,135.854,-40.672
-62.113,137.457,-40.5
-62.646,137.278,-39.985
-62.468,139.237,-39.813
-63.356,139.415,-41.701
-63.533,141.374,-40.843
-64.42,142.264,-42.044
-63.711,144.044,-41.015
-64.243,144.579,-42.216
-64.066,145.825,-42.388
-63.356,145.825,-42.044
-63.356,145.469,-43.761
-62.823,148.14,-42.559
-62.823,149.208,-42.559
-61.226,150.454,-40.672
-63.001,149.742,-42.388
-61.758,151.345,-41.186
-63.888,152.057,-42.216
-63.178,152.413,-42.559
-61.404,154.193,-40.5
-62.113,152.413,-41.186
-61.936,154.372,-41.701
-61.226,152.591,-41.701
-61.936,152.947,-41.358
-60.871,153.659,-42.388
-61.936,157.22,-39.985
-59.451,155.796,-40.672
-59.629,155.262,-41.873
-60.339,156.686,-40.5
-58.919,157.042,-40.157
-58.564,157.755,-41.186
-58.742,159.357,-41.701
-57.322,159.357,-40.328
-57.854,159.891,-39.47
-56.434,160.247,-40.5
-56.434,159.891,-41.186
-54.66,160.959,-41.873
-54.305,161.672,-40.5
-54.305,160.959,-39.47
-54.66,163.808,-40.5
-53.95,161.316,-39.127
-52.708,163.986,-38.955
-53.418,165.055,-39.985
-51.11,164.521,-39.127
-50.223,165.767,-37.239
-49.868,165.411,-38.612
-47.206,165.945,-39.127
-45.432,167.013,-37.068
-45.432,165.945,-37.754
-44.899,165.767,-38.612
-45.077,165.945,-36.725
-44.012,166.301,-38.097
-42.769,165.767,-36.896
-42.769,165.767,-35.866
-43.657,165.945,-35.695
-41.527,167.725,-36.038
-40.995,166.123,-37.239
-39.575,164.699,-35.523
-40.995,166.123,-35.523
-39.043,165.945,-35.695
-40.285,166.835,-35.866
-40.285,167.547,-35.523
-37.978,165.589,-36.038
-38.333,165.945,-36.725
-37.445,166.123,-34.15
-37.268,165.233,-32.263
-36.381,163.986,-32.777
-34.606,166.123,-34.15
-35.138,164.877,-34.665
-34.783,164.877,-33.636
-35.138,164.521,-32.949
-34.429,164.521,-33.979
-32.299,164.521,-31.919
-31.412,163.63,-32.777
-31.412,162.918,-32.777
-30.347,162.918,-32.777
-30.702,162.562,-32.434
-29.814,162.028,-30.89
-29.992,161.138,-30.375
-30.169,162.384,-29.517
-30.524,160.603,-31.233
-29.637,160.069,-31.748
-28.75,161.316,-30.547
-29.637,160.781,-31.061
-27.685,159.891,-31.919
-26.443,158.289,-29.688
-26.975,160.247,-28.83
-25.733,157.933,-29.688
-25.733,158.289,-29.688
-26.62,157.755,-29.86
-24.668,156.152,-28.659
-26.62,156.686,-30.547
-25.91,156.33,-28.487
-25.023,156.508,-31.061
-25.023,155.084,-28.316
-23.071,154.193,-29.174
-24.668,155.084,-29.688
-24.313,154.015,-28.659
-25.555,153.837,-29.174
-21.828,152.235,-28.316
-23.248,152.947,-29.002
-24.313,149.742,-28.316
-21.828,150.098,-27.629
-23.248,149.386,-27.629
-22.716,149.208,-27.801
-23.426,148.496,-28.83
-22.006,148.852,-26.771
-22.183,147.962,-26.943
-23.781,148.14,-26.771
-21.651,147.784,-27.458
-22.361,147.071,-27.801
-23.071,147.071,-28.144
-23.781,146.003,-26.085
-23.958,144.044,-27.286
-21.828,143.688,-27.629
-23.426,144.579,-26.085
-24.668,140.127,-27.286
-24.135,141.73,-27.114
-23.958,140.84,-26.6
-23.071,138.525,-26.085
-24.845,138.881,-27.458
-23.248,138.347,-26.6
-23.781,138.881,-26.771
-22.716,137.1,-27.114
-24.845,137.1,-27.801
-25.378,136.922,-27.972
-25.91,136.032,-27.801
-25.378,134.786,-26.256
-25.91,134.964,-27.458
-24.668,133.717,-26.6
-25.91,131.759,-28.487
-26.62,132.115,-27.114
-28.217,132.293,-27.629
-25.2,131.047,-27.458
-27.33,131.759,-27.114
-28.572,130.156,-27.629
-28.927,130.512,-27.286
-28.217,129.444,-28.659
-30.524,128.91,-28.83
-29.992,129.088,-27.629
-31.057,125.883,-27.629
-32.121,129.444,-28.316
-30.702,127.308,-27.972
-33.009,126.417,-28.487
-31.944,126.773,-28.144
-31.767,126.595,-28.659
-35.138,127.129,-29.174
-33.541,125.527,-30.032
-34.429,124.993,-30.203
-34.961,125.171,-30.375
-33.896,124.815,-28.659
-34.606,124.103,-30.375
-35.671,124.459,-30.375
-37.623,123.212,-29.174
-36.558,123.925,-30.89
-37.268,122.5,-30.89
-38.51,123.746,-30.032
-38.865,123.39,-30.375
-39.93,124.459,-30.718
-40.107,123.568,-30.89
-39.22,123.39,-31.405
-41.35,123.39,-32.091
-41.882,123.568,-31.919
-41.882,123.568,-32.263
-42.592,123.212,-31.576
-43.479,121.966,-32.434
-42.947,123.212,-32.606
-43.657,121.788,-31.233
-44.189,122.678,-32.777
-44.189,123.746,-32.777
-45.964,124.103,-32.434
-45.432,121.788,-35.008
-46.319,122.678,-32.434
-47.384,122.678,-33.464
-48.981,122.144,-34.322
-48.094,123.39,-33.807
-48.271,123.568,-31.919
-48.094,121.61,-34.494
-48.271,122.5,-33.636
-49.158,121.966,-33.807
-48.626,122.5,-34.665
-47.384,121.61,-35.523
-51.998,124.459,-35.18
-48.803,123.39,-34.837
-50.756,122.5,-36.038
-51.82,124.993,-35.695
-53.418,123.746,-34.15
-52.708,124.815,-35.18
-54.127,124.103,-36.553
-53.24,123.925,-36.725
-53.95,123.925,-36.038
-54.482,127.664,-37.583
-55.547,125.171,-36.553
-53.772,125.527,-37.583
-54.482,126.239,-36.553
-53.418,127.308,-36.553
-54.66,128.198,-37.068
-57.677,126.951,-37.926
-54.305,125.349,-36.725
-55.547,126.239,-36.896
-56.967,127.664,-38.269
-57.499,130.334,-37.411
-57.854,128.198,-39.813
-58.564,128.91,-37.754
-57.854,129.266,-36.725
-59.806,129.088,-38.612
-58.919,130.334,-39.813
-59.451,129.8,-37.583
-60.161,130.156,-40.672
-59.451,132.293,-37.926
-59.984,132.115,-38.097
-61.049,132.471,-38.784
-61.049,133.539,-40.157
-62.291,134.786,-40.672
-60.871,133.717,-39.642
-61.226,136.21,-41.015
-62.823,137.1,-39.47
-61.404,136.032,-40.843
-62.823,137.1,-39.47
-63.001,136.922,-40.328
-62.113,137.1,-41.186
-63.178,138.169,-41.186
-62.291,138.703,-40.328
-64.42,138.347,-39.985
-63.356,138.703,-41.015
-64.775,140.127,-41.701
-64.598,139.237,-41.53
-64.598,139.237,-40.157
-63.178,141.73,-39.813
-64.42,142.976,-41.701
-61.581,142.976,-40.672
-63.711,145.113,-40.672
-63.888,144.935,-41.873
-63.178,145.647,-41.53
-63.356,145.825,-41.358
-64.598,146.715,-41.873
-63.533,147.784,-42.902
-62.113,147.427,-42.216
-65.308,148.496,-42.216
-63.533,148.14,-41.53
-63.533,148.496,-41.53
-64.066,151.523,-42.731
-63.711,150.454,-41.358
-63.711,151.879,-43.761
-60.871,151.879,-41.015
-62.646,150.81,-41.358
-62.646,152.235,-41.701
-61.581,152.591,-41.015
-62.291,152.947,-41.358
-62.291,152.947,-41.358
-60.694,154.193,-40.843
-60.871,154.015,-40.672
-60.339,156.33,-41.53
-59.096,156.152,-41.701
-59.274,155.974,-41.53
-59.451,156.864,-41.358
-59.096,157.576,-41.015
-57.677,159.001,-41.015
-57.677,158.645,-40.328
-57.854,159.535,-41.873
-56.789,158.467,-42.216
-58.209,159.179,-41.873
-56.612,158.289,-41.358
-57.677,161.138,-40.328
-56.434,159.535,-40.157
-54.66,162.384,-40.157
-56.08,161.672,-41.53
-54.482,162.562,-40.672
-53.595,163.096,-39.813
-54.305,163.096,-40.5
-55.37,161.672,-39.47
-55.015,162.74,-38.097
-53.95,162.384,-40.843
-51.643,162.918,-39.299
-51.998,165.411,-38.612
-52.175,164.521,-38.784
-50.223,163.986,-39.642
-50.756,164.877,-38.441
-51.11,164.164,-39.127
-50.046,165.233,-37.068
-48.981,165.589,-38.784
-49.513,165.055,-37.583
-47.029,166.123,-37.583
-47.384,166.479,-37.926
-45.964,165.767,-38.269
-46.851,165.589,-37.068
-46.496,164.877,-38.097
-45.254,166.479,-36.553
-45.432,167.725,-37.068
-45.786,166.301,-36.725
-45.077,166.301,-36.038
-45.077,167.369,-35.352
-43.657,168.082,-36.038
-41.705,167.904,-36.553
-42.947,165.945,-36.381
-41.882,166.657,-36.381
-41.527,167.013,-36.038
-40.995,167.191,-35.523
-40.462,166.301,-37.411
-41.882,167.369,-35.352
-38.865,165.055,-34.15
-37.623,165.945,-34.322
-37.978,166.301,-34.665
-36.736,166.123,-35.18
-35.316,164.342,-33.807
-36.736,165.767,-33.464
-34.961,165.767,-35.18
-34.783,165.589,-33.979
-36.558,165.589,-32.949
-32.654,163.808,-31.576
-32.831,162.918,-32.777
-31.589,162.74,-32.263
-31.412,163.986,-32.434
-31.234,163.808,-32.606
-32.299,163.452,-32.263
-31.057,162.206,-32.777
-29.992,162.918,-31.061
-29.637,161.138,-32.434
-29.105,162.74,-31.919
-28.395,162.384,-30.89
-26.797,161.138,-31.405
-27.685,159.891,-29.86
-28.75,160.247,-30.547
-27.685,159.535,-31.576
-26.975,159.535,-31.576
-27.685,158.111,-29.86
-25.733,158.645,-29.002
-25.555,158.111,-30.203
-27.33,158.467,-29.517
-26.265,157.042,-28.83
-25.733,154.728,-27.972
-23.958,155.796,-28.316
-24.49,154.906,-28.144
-25.023,153.659,-28.316
-24.313,154.372,-27.972
-23.248,152.591,-27.629
-23.426,153.125,-29.174
-25.023,154.015,-27.972
-22.893,151.879,-27.972
-22.361,149.564,-26.428
-22.361,152.057,-29.86
-23.071,150.989,-27.801
-24.135,149.564,-27.114
-22.893,148.318,-28.316
-22.716,148.14,-27.801
-22.538,148.318,-28.316
-23.603,147.962,-26.943
-23.603,146.181,-26.943
-22.538,145.825,-26.943
-23.603,145.825,-27.629
-24.313,145.113,-27.972
-21.473,142.976,-27.286
-22.893,144.757,-26.6
-22.361,142.442,-26.085
-23.603,141.196,-26.6
-23.071,142.086,-25.741
-23.781,140.661,-27.801
-23.781,142.086,-27.458
-23.426,140.305,-27.458
-23.781,139.593,-27.801
-24.49,139.949,-26.428
-22.716,138.169,-27.458
-24.49,138.169,-27.458
-25.378,136.922,-27.286
-24.845,138.169,-27.114
-23.603,135.142,-26.943
-26.62,135.676,-28.487
-25.378,134.786,-26.943
-27.507,135.498,-28.316
-25.378,135.142,-28.316
-27.152,133.361,-27.972
-27.33,131.403,-28.144
-25.733,130.512,-28.316
-27.33,130.691,-28.487
-27.862,131.225,-27.629
-27.862,131.581,-28.659
-28.04,130.334,-29.517
-27.152,129.8,-27.972
-28.04,129.978,-26.771
-27.152,129.444,-27.629
-29.992,129.088,-27.629
-28.927,128.02,-29.002
-29.105,129.978,-27.458
-30.347,127.664,-29.002
-30.702,129.088,-27.286
-32.121,127.664,-28.659
-32.121,126.951,-28.316
-33.009,127.129,-29.174
-32.831,126.239,-29.002
-33.186,125.883,-29.688
-34.251,125.527,-28.659
-33.719,126.061,-30.89
-34.783,124.993,-30.203
-35.316,125.527,-30.718
-36.203,124.637,-31.233
-36.381,124.815,-29.688
-37.978,124.637,-30.203
-38.51,123.39,-29.688
-38.155,123.39,-29.345
-39.398,124.281,-31.233
-39.043,124.993,-31.919
-40.995,123.746,-31.061
-40.995,123.034,-31.405
-41.35,123.746,-32.434
-42.592,123.568,-30.89
-42.237,123.212,-31.233
-43.479,123.034,-34.15
-44.189,121.966,-33.464
-45.609,122.678,-31.748
-45.609,123.034,-33.807
-47.739,123.39,-34.837
-46.141,122.5,-32.263
-48.803,123.746,-34.837
-47.561,123.568,-33.636
-47.384,120.898,-34.15
-48.448,123.39,-33.807
-50.046,123.212,-35.008
-49.158,123.39,-34.494
-49.868,122.678,-33.807
-50.046,124.993,-35.352
-54.305,123.925,-36.381
-50.933,124.815,-36.553
-54.305,125.349,-36.038
-52.885,125.349,-35.695
-53.772,125.527,-35.18
-52.708,125.527,-36.21
-53.772,125.171,-37.239
-55.902,126.595,-35.866
-54.66,127.129,-36.381
-55.725,126.773,-37.068
-57.677,127.308,-37.926
-56.434,127.129,-38.441
-57.499,129.622,-38.441
-57.144,128.198,-37.411
-58.919,128.554,-38.784
-59.274,130.334,-39.813
-59.096,130.156,-38.955
-59.806,129.8,-38.612
-59.274,131.403,-38.784
-60.339,130.691,-38.441
-58.742,131.225,-38.955
-60.161,130.869,-40.328
-60.694,132.115,-40.5
-61.049,133.539,-39.127
-59.984,132.115,-39.127
-60.694,132.471,-38.097
-59.274,133.539,-40.157
-60.339,132.471,-39.127
-61.581,135.142,-40.328
-61.404,132.827,-40.5
-61.581,134.074,-38.955
-62.113,134.608,-41.53
-62.291,136.922,-40.672
-62.291,135.498,-41.358
-62.113,136.744,-41.53
-63.533,137.813,-41.186
-61.936,139.059,-41.358
-63.001,138.703,-41.358
-63.001,139.771,-41.358
-62.468,138.169,-39.813
-63.711,140.483,-40.672
-63.711,139.771,-42.388
-63.711,141.552,-40.328
-63.533,142.086,-42.216
-62.468,141.018,-41.53
-63.533,143.51,-41.53
-62.823,143.154,-39.813
-62.291,144.401,-42.388
-64.953,146.359,-41.873
-63.533,146.003,-40.5
-63.711,145.825,-41.701
-61.936,146.893,-42.731
-63.888,147.071,-41.186
-64.42,148.674,-41.358
-64.42,147.962,-41.015
-62.468,148.496,-41.53
-62.646,149.03,-41.358
-63.178,149.92,-41.873
-61.049,150.632,-41.53
-63.001,149.742,-41.701
-62.291,150.454,-41.358
-61.404,152.769,-42.216
-61.936,151.879,-41.701
-60.161,153.303,-42.388
-61.581,152.591,-41.701
-60.871,151.879,-41.358
-60.161,153.659,-40.328
-59.984,154.55,-42.559
-59.984,154.906,-42.216
-61.049,155.618,-42.216
-59.451,156.152,-41.701
-60.516,156.508,-41.701
-59.629,156.33,-41.186
-59.096,156.864,-42.388
-58.919,158.823,-40.5
-57.499,159.179,-40.157
-57.499,158.467,-41.186
-57.499,159.179,-40.843
-57.322,158.645,-40.672
-56.612,160.781,-40.328
-55.547,160.781,-40.328
-55.37,160.959,-40.5
-55.37,162.028,-40.843
-53.95,161.316,-39.47
-55.015,161.672,-40.843
-53.772,162.562,-41.015
-54.305,163.096,-40.157
-53.063,163.274,-39.299
-54.305,163.808,-40.843
-51.465,164.521,-39.127
-51.465,164.877,-39.127
-50.756,164.164,-38.441
-50.933,163.63,-38.612
-50.223,165.055,-38.612
-49.868,165.411,-37.583
-48.448,165.055,-38.955
-49.691,165.589,-37.411
-47.739,165.767,-37.239
-48.094,165.055,-37.926
-47.206,167.013,-38.441
-47.029,166.123,-35.866
-44.189,166.479,-38.612
-45.964,167.191,-37.239
-45.609,166.123,-36.21
-42.592,167.369,-37.411
-42.947,166.657,-36.381
-43.302,166.657,-37.068
-42.947,166.657,-35.008
-43.124,166.479,-35.18
-39.93,166.123,-35.523
-41.527,167.013,-36.381
-40.64,165.767,-35.866
-40.285,167.547,-36.21
-39.398,165.945,-35.695
-40.285,167.547,-34.15
-39.22,166.123,-35.523
-39.043,166.301,-35.008
-39.043,166.301,-35.008
-38.155,165.411,-35.18
-36.558,165.589,-33.636
-37.268,166.657,-34.665
-38.688,165.589,-34.665
-36.913,166.657,-34.665
-34.606,165.411,-33.807
-35.493,167.725,-33.292
-34.783,165.233,-35.352
-34.961,165.055,-32.777
-33.719,163.808,-33.292
