magX,magY,magZ
108.0,407.0,203.0
113.0,405.0,204.0
112.0,403.0,204.0
114.0,398.0,201.0
118.0,392.0,201.0
118.0,388.0,202.0
120.0,385.0,200.0
120.0,380.0,200.0
120.0,372.0,202.0
118.0,367.0,200.0
119.0,366.0,201.0
118.0,361.0,199.0
118.0,355.0,201.0
116.0,353.0,202.0
115.0,347.0,201.0
112.0,344.0,202.0
112.0,340.0,204.0
111.0,337.0,205.0
109.0,334.0,204.0
106.0,326.0,204.0
103.0,326.0,204.0
99.0,324.0,207.0
97.0,323.0,211.0
89.0,317.0,208.0
84.0,313.0,215.0
83.0,313.0,215.0
77.0,309.0,217.0
70.0,310.0,220.0
68.0,307.0,220.0
63.0,310.0,223.0
60.0,308.0,224.0
58.0,311.0,227.0
55.0,307.0,226.0
50.0,311.0,229.0
44.0,314.0,231.0
38.0,314.0,237.0
35.0,314.0,233.0
31.0,319.0,236.0
28.0,322.0,240.0
19.0,325.0,243.0
16.0,329.0,243.0
16.0,330.0,242.0
13.0,339.0,246.0
9.0,345.0,248.0
7.0,350.0,248.0
4.0,355.0,249.0
5.0,360.0,252.0
4.0,367.0,249.0
2.0,369.0,249.0
4.0,373.0,249.0
2.0,377.0,248.0
1.0,388.0,249.0
6.0,394.0,250.0
4.0,397.0,249.0
6.0,400.0,250.0
8.0,406.0,248.0
8.0,411.0,248.0
10.0,410.0,247.0
15.0,418.0,244.0
17.0,424.0,245.0
22.0,425.0,241.0
24.0,432.0,242.0
32.0,434.0,239.0
37.0,435.0,236.0
41.0,440.0,231.0
47.0,441.0,230.0
56.0,443.0,227.0
59.0,441.0,224.0
71.0,439.0,220.0
75.0,436.0,219.0
81.0,435.0,216.0
86.0,436.0,216.0
93.0,432.0,210.0
98.0,425.0,208.0
99.0,422.0,209.0
103.0,419.0,208.0
106.0,419.0,205.0
109.0,407.0,205.0
111.0,404.0,203.0
114.0,402.0,202.0
114.0,396.0,200.0
116.0,391.0,201.0
119.0,383.0,201.0
119.0,377.0,198.0
117.0,370.0,201.0
118.0,361.0,201.0
114.0,350.0,202.0
112.0,342.0,201.0
109.0,335.0,202.0
103.0,329.0,206.0
100.0,323.0,207.0
93.0,320.0,210.0
89.0,318.0,212.0
85.0,314.0,213.0
78.0,311.0,218.0
73.0,308.0,218.0
65.0,309.0,221.0
58.0,307.0,225.0
52.0,310.0,227.0
52.0,309.0,230.0
41.0,314.0,233.0
35.0,317.0,235.0
28.0,320.0,238.0
22.0,326.0,239.0
17.0,331.0,240.0
14.0,338.0,244.0
10.0,346.0,246.0
7.0,353.0,244.0
4.0,362.0,249.0
1.0,367.0,251.0
3.0,371.0,249.0
-2.0,378.0,249.0
3.0,386.0,249.0
4.0,392.0,251.0
6.0,396.0,250.0
4.0,400.0,251.0
10.0,406.0,251.0
9.0,411.0,249.0
13.0,414.0,243.0
15.0,420.0,246.0
18.0,424.0,243.0
27.0,430.0,239.0
34.0,437.0,236.0
42.0,438.0,232.0
47.0,440.0,232.0
52.0,442.0,226.0
62.0,442.0,225.0
63.0,444.0,223.0
71.0,442.0,219.0
79.0,438.0,218.0
82.0,436.0,212.0
93.0,430.0,209.0
99.0,424.0,209.0
102.0,423.0,207.0
107.0,417.0,205.0
113.0,408.0,203.0
112.0,405.0,203.0
113.0,400.0,202.0
117.0,392.0,201.0
117.0,381.0,199.0
116.0,373.0,200.0
117.0,363.0,201.0
116.0,356.0,202.0
114.0,347.0,200.0
112.0,342.0,202.0
105.0,336.0,203.0
104.0,330.0,205.0
95.0,322.0,209.0
91.0,316.0,210.0
84.0,312.0,216.0
80.0,311.0,216.0
78.0,312.0,215.0
68.0,312.0,220.0
62.0,309.0,225.0
54.0,307.0,228.0
48.0,311.0,229.0
42.0,313.0,232.0
34.0,316.0,234.0
25.0,324.0,237.0
21.0,325.0,239.0
17.0,334.0,242.0
12.0,336.0,244.0
14.0,339.0,244.0
8.0,345.0,244.0
5.0,351.0,248.0
5.0,359.0,249.0
2.0,366.0,249.0
0.0,376.0,250.0
1.0,383.0,252.0
4.0,387.0,248.0
3.0,395.0,251.0
5.0,398.0,248.0
6.0,403.0,248.0
9.0,409.0,248.0
11.0,416.0,245.0
16.0,420.0,246.0
20.0,425.0,243.0
26.0,428.0,240.0
31.0,434.0,237.0
37.0,436.0,235.0
45.0,437.0,232.0
51.0,442.0,229.0
59.0,439.0,226.0
64.0,442.0,224.0
71.0,438.0,222.0
76.0,440.0,219.0
82.0,435.0,217.0
89.0,434.0,213.0
93.0,425.0,211.0
101.0,422.0,211.0
104.0,420.0,209.0
108.0,416.0,205.0
111.0,405.0,203.0
112.0,404.0,203.0
115.0,400.0,198.0
117.0,393.0,201.0
119.0,388.0,202.0
119.0,381.0,200.0
119.0,373.0,200.0
118.0,364.0,201.0
118.0,358.0,198.0
113.0,343.0,203.0
111.0,337.0,202.0
107.0,332.0,205.0
101.0,328.0,208.0
98.0,325.0,208.0
95.0,320.0,209.0
88.0,316.0,211.0
84.0,316.0,214.0
76.0,312.0,218.0
70.0,312.0,221.0
63.0,307.0,223.0
54.0,311.0,225.0
49.0,312.0,227.0
45.0,313.0,233.0
39.0,318.0,234.0
33.0,319.0,236.0
26.0,323.0,239.0
22.0,327.0,240.0
17.0,332.0,242.0
13.0,334.0,244.0
9.0,343.0,246.0
7.0,356.0,249.0
6.0,363.0,249.0
2.0,369.0,248.0
1.0,376.0,252.0
-1.0,382.0,254.0
1.0,387.0,248.0
2.0,400.0,249.0
5.0,401.0,247.0
7.0,408.0,247.0
9.0,411.0,245.0
12.0,415.0,245.0
16.0,422.0,244.0
21.0,425.0,243.0
21.0,429.0,242.0
26.0,428.0,239.0
31.0,435.0,237.0
38.0,439.0,236.0
42.0,441.0,233.0
48.0,440.0,231.0
54.0,446.0,230.0
56.0,441.0,224.0
62.0,441.0,225.0
67.0,441.0,224.0
75.0,436.0,221.0
80.0,434.0,213.0
89.0,431.0,211.0
96.0,427.0,208.0
102.0,419.0,208.0
107.0,418.0,207.0
