magX,magY,magZ
110.0,408.0,187.0
110.0,405.0,191.0
112.0,399.0,188.0
116.0,397.0,182.0
115.0,390.0,185.0
115.0,380.0,184.0
115.0,374.0,184.0
113.0,366.0,186.0
114.0,361.0,186.0
111.0,355.0,187.0
109.0,347.0,187.0
103.0,341.0,189.0
102.0,336.0,191.0
96.0,329.0,194.0
91.0,327.0,196.0
84.0,322.0,197.0
81.0,317.0,201.0
75.0,315.0,201.0
68.0,315.0,204.0
61.0,315.0,208.0
56.0,313.0,209.0
51.0,313.0,209.0
45.0,316.0,212.0
39.0,318.0,219.0
33.0,318.0,220.0
29.0,320.0,223.0
21.0,327.0,224.0
18.0,332.0,224.0
15.0,334.0,225.0
11.0,335.0,228.0
6.0,343.0,229.0
7.0,348.0,231.0
5.0,350.0,230.0
-1.0,356.0,232.0
-1.0,361.0,233.0
-2.0,371.0,234.0
-5.0,378.0,234.0
-5.0,383.0,236.0
-6.0,387.0,235.0
-6.0,392.0,235.0
-5.0,398.0,234.0
-2.0,402.0,235.0
-1.0,408.0,231.0
0.0,416.0,232.0
7.0,422.0,231.0
8.0,430.0,230.0
14.0,434.0,229.0
16.0,434.0,225.0
18.0,434.0,224.0
22.0,441.0,222.0
29.0,443.0,221.0
31.0,443.0,219.0
37.0,446.0,218.0
48.0,449.0,215.0
49.0,450.0,215.0
52.0,453.0,209.0
58.0,450.0,211.0
62.0,450.0,205.0
64.0,447.0,205.0
71.0,446.0,201.0
77.0,445.0,201.0
83.0,441.0,199.0
90.0,439.0,196.0
89.0,439.0,195.0
91.0,435.0,193.0
96.0,431.0,193.0
99.0,429.0,190.0
104.0,421.0,190.0
106.0,416.0,189.0
109.0,413.0,187.0
110.0,408.0,188.0
111.0,406.0,187.0
112.0,399.0,186.0
113.0,390.0,185.0
115.0,383.0,185.0
116.0,377.0,186.0
116.0,373.0,185.0
115.0,369.0,184.0
113.0,365.0,184.0
111.0,360.0,186.0
110.0,354.0,188.0
106.0,348.0,188.0
105.0,343.0,188.0
105.0,339.0,192.0
101.0,335.0,190.0
95.0,330.0,192.0
89.0,327.0,195.0
84.0,324.0,196.0
82.0,320.0,198.0
77.0,317.0,199.0
74.0,314.0,202.0
70.0,317.0,202.0
68.0,316.0,204.0
60.0,317.0,207.0
55.0,316.0,210.0
50.0,316.0,209.0
44.0,317.0,212.0
42.0,316.0,215.0
38.0,318.0,217.0
31.0,322.0,221.0
30.0,322.0,221.0
27.0,324.0,223.0
21.0,327.0,223.0
18.0,333.0,224.0
14.0,335.0,228.0
8.0,340.0,229.0
6.0,347.0,232.0
5.0,349.0,235.0
-1.0,355.0,234.0
1.0,362.0,231.0
-4.0,365.0,233.0
-5.0,375.0,235.0
-6.0,377.0,236.0
-4.0,384.0,235.0
-4.0,392.0,234.0
-6.0,397.0,235.0
-2.0,399.0,234.0
-2.0,405.0,233.0
-3.0,409.0,233.0
2.0,408.0,233.0
1.0,415.0,232.0
7.0,422.0,230.0
9.0,425.0,229.0
10.0,429.0,227.0
11.0,431.0,228.0
19.0,437.0,227.0
23.0,439.0,222.0
24.0,442.0,224.0
30.0,445.0,222.0
35.0,445.0,218.0
38.0,448.0,217.0
45.0,449.0,212.0
51.0,449.0,211.0
54.0,449.0,211.0
60.0,450.0,208.0
66.0,447.0,207.0
69.0,449.0,205.0
75.0,444.0,202.0
76.0,445.0,201.0
80.0,446.0,200.0
83.0,441.0,197.0
85.0,439.0,197.0
92.0,437.0,195.0
93.0,434.0,194.0
98.0,429.0,192.0
100.0,426.0,189.0
107.0,418.0,189.0
108.0,412.0,189.0
113.0,406.0,187.0
112.0,402.0,185.0
112.0,398.0,184.0
117.0,396.0,187.0
115.0,390.0,186.0
116.0,383.0,183.0
115.0,376.0,183.0
115.0,374.0,186.0
116.0,369.0,184.0
112.0,366.0,187.0
112.0,359.0,186.0
112.0,356.0,185.0
109.0,354.0,186.0
107.0,348.0,188.0
105.0,346.0,187.0
103.0,338.0,189.0
97.0,333.0,191.0
95.0,328.0,193.0
90.0,327.0,193.0
89.0,325.0,195.0
84.0,322.0,197.0
79.0,318.0,197.0
76.0,318.0,202.0
68.0,316.0,204.0
63.0,315.0,206.0
53.0,316.0,210.0
48.0,312.0,213.0
49.0,316.0,212.0
43.0,313.0,214.0
41.0,319.0,217.0
32.0,322.0,219.0
28.0,325.0,219.0
24.0,327.0,223.0
22.0,327.0,224.0
14.0,333.0,225.0
13.0,338.0,229.0
11.0,338.0,227.0
7.0,342.0,229.0
7.0,347.0,231.0
3.0,352.0,232.0
0.0,358.0,232.0
3.0,357.0,232.0
-3.0,361.0,233.0
-6.0,372.0,235.0
-7.0,378.0,234.0
-8.0,384.0,233.0
-4.0,390.0,234.0
-4.0,391.0,235.0
-4.0,399.0,233.0
-2.0,408.0,237.0
-1.0,406.0,233.0
-1.0,410.0,233.0
1.0,416.0,229.0
4.0,424.0,233.0
7.0,425.0,229.0
9.0,427.0,227.0
15.0,433.0,226.0
15.0,436.0,227.0
17.0,439.0,226.0
21.0,443.0,223.0
26.0,442.0,222.0
32.0,444.0,218.0
36.0,446.0,218.0
44.0,446.0,215.0
47.0,448.0,214.0
49.0,450.0,212.0
55.0,451.0,210.0
58.0,452.0,206.0
66.0,448.0,206.0
73.0,447.0,202.0
77.0,446.0,199.0
80.0,443.0,199.0
81.0,443.0,198.0
88.0,439.0,197.0
92.0,437.0,196.0
94.0,434.0,193.0
97.0,430.0,193.0
103.0,423.0,188.0
108.0,417.0,189.0
108.0,409.0,191.0
111.0,403.0,185.0
115.0,398.0,184.0
114.0,396.0,185.0
113.0,391.0,186.0
113.0,386.0,187.0
113.0,379.0,184.0
115.0,374.0,185.0
112.0,365.0,187.0
114.0,363.0,187.0
114.0,360.0,186.0
110.0,354.0,185.0
108.0,346.0,189.0
104.0,342.0,189.0
100.0,338.0,190.0
99.0,334.0,190.0
96.0,331.0,195.0
87.0,324.0,195.0
83.0,320.0,198.0
78.0,320.0,201.0
72.0,316.0,204.0
70.0,313.0,206.0
67.0,316.0,203.0
64.0,316.0,206.0
60.0,314.0,207.0
53.0,313.0,210.0
44.0,318.0,214.0
44.0,317.0,216.0
39.0,318.0,216.0
35.0,318.0,219.0
29.0,322.0,221.0
26.0,325.0,222.0
19.0,326.0,226.0
16.0,331.0,226.0
14.0,336.0,229.0
7.0,342.0,230.0
5.0,344.0,230.0
4.0,349.0,232.0
2.0,350.0,231.0
0.0,356.0,232.0
-2.0,361.0,233.0
-3.0,367.0,233.0
-5.0,370.0,233.0
-6.0,379.0,236.0
-7.0,387.0,233.0
-7.0,389.0,232.0
-5.0,396.0,233.0
-3.0,401.0,236.0
-3.0,407.0,234.0
-2.0,410.0,234.0
4.0,417.0,232.0
2.0,422.0,233.0
7.0,426.0,229.0
14.0,434.0,228.0
18.0,437.0,226.0
24.0,442.0,225.0
