magX,magY,magZ
111.0,362.0,197.0
110.0,357.0,199.0
105.0,353.0,197.0
104.0,349.0,198.0
102.0,348.0,200.0
101.0,344.0,202.0
96.0,340.0,203.0
95.0,340.0,202.0
91.0,338.0,204.0
89.0,336.0,205.0
87.0,335.0,204.0
84.0,332.0,207.0
79.0,328.0,209.0
75.0,325.0,207.0
74.0,328.0,210.0
72.0,324.0,209.0
65.0,325.0,215.0
62.0,322.0,215.0
59.0,325.0,216.0
55.0,325.0,217.0
50.0,324.0,218.0
46.0,325.0,220.0
43.0,327.0,222.0
39.0,325.0,225.0
38.0,327.0,225.0
35.0,327.0,225.0
29.0,333.0,227.0
25.0,334.0,230.0
20.0,337.0,230.0
18.0,337.0,231.0
15.0,341.0,232.0
14.0,340.0,232.0
13.0,342.0,233.0
7.0,349.0,234.0
6.0,352.0,235.0
4.0,353.0,235.0
1.0,356.0,236.0
0.0,357.0,239.0
1.0,357.0,237.0
-2.0,362.0,237.0
-2.0,369.0,240.0
-6.0,373.0,239.0
-7.0,376.0,238.0
-9.0,385.0,241.0
-9.0,383.0,242.0
-7.0,385.0,240.0
-11.0,393.0,239.0
-11.0,398.0,241.0
-10.0,403.0,242.0
-8.0,407.0,241.0
-7.0,409.0,240.0
-7.0,414.0,239.0
-5.0,420.0,240.0
-5.0,425.0,239.0
-5.0,430.0,239.0
0.0,434.0,239.0
2.0,436.0,237.0
3.0,438.0,238.0
3.0,436.0,237.0
4.0,438.0,234.0
5.0,443.0,236.0
9.0,447.0,235.0
14.0,448.0,233.0
14.0,453.0,231.0
16.0,451.0,233.0
16.0,453.0,230.0
19.0,455.0,231.0
24.0,458.0,228.0
31.0,460.0,228.0
38.0,462.0,223.0
45.0,463.0,222.0
47.0,463.0,221.0
49.0,465.0,219.0
52.0,465.0,220.0
56.0,467.0,215.0
58.0,461.0,217.0
59.0,463.0,215.0
67.0,463.0,213.0
71.0,461.0,213.0
73.0,459.0,213.0
75.0,460.0,210.0
78.0,458.0,208.0
81.0,458.0,208.0
85.0,454.0,203.0
88.0,453.0,206.0
88.0,450.0,204.0
92.0,451.0,205.0
95.0,447.0,203.0
100.0,444.0,201.0
104.0,440.0,200.0
106.0,437.0,198.0
106.0,435.0,197.0
104.0,433.0,196.0
107.0,429.0,196.0
109.0,429.0,199.0
113.0,425.0,196.0
113.0,421.0,196.0
114.0,419.0,194.0
116.0,413.0,195.0
113.0,413.0,195.0
115.0,409.0,195.0
118.0,412.0,193.0
117.0,406.0,197.0
117.0,402.0,192.0
118.0,401.0,194.0
118.0,396.0,193.0
119.0,391.0,194.0
117.0,388.0,192.0
119.0,388.0,193.0
118.0,384.0,192.0
119.0,381.0,193.0
117.0,381.0,194.0
116.0,374.0,194.0
116.0,369.0,194.0
114.0,364.0,194.0
112.0,364.0,195.0
112.0,359.0,194.0
110.0,355.0,194.0
108.0,357.0,196.0
108.0,352.0,196.0
106.0,349.0,197.0
102.0,345.0,197.0
97.0,339.0,201.0
96.0,339.0,201.0
96.0,339.0,201.0
93.0,336.0,202.0
91.0,334.0,204.0
91.0,336.0,204.0
86.0,334.0,201.0
84.0,329.0,208.0
76.0,329.0,209.0
79.0,326.0,208.0
77.0,326.0,208.0
74.0,328.0,208.0
67.0,323.0,213.0
65.0,323.0,214.0
61.0,327.0,215.0
55.0,321.0,216.0
52.0,324.0,217.0
51.0,325.0,216.0
46.0,323.0,220.0
43.0,327.0,226.0
37.0,328.0,224.0
34.0,330.0,225.0
30.0,333.0,224.0
24.0,335.0,227.0
22.0,336.0,227.0
19.0,334.0,229.0
17.0,339.0,231.0
14.0,342.0,232.0
8.0,346.0,234.0
3.0,348.0,236.0
4.0,352.0,235.0
0.0,355.0,238.0
-4.0,357.0,237.0
-2.0,364.0,239.0
-5.0,367.0,240.0
-7.0,371.0,241.0
-8.0,373.0,240.0
-9.0,374.0,240.0
-8.0,380.0,240.0
-8.0,386.0,239.0
-9.0,392.0,240.0
-11.0,395.0,240.0
-9.0,400.0,242.0
-9.0,401.0,240.0
-12.0,401.0,242.0
-7.0,405.0,239.0
-8.0,407.0,242.0
-6.0,413.0,240.0
-6.0,418.0,241.0
-4.0,422.0,240.0
-2.0,426.0,240.0
-4.0,431.0,239.0
-1.0,431.0,237.0
-2.0,436.0,237.0
3.0,436.0,236.0
6.0,442.0,235.0
8.0,444.0,236.0
12.0,447.0,234.0
14.0,450.0,234.0
16.0,450.0,234.0
18.0,453.0,232.0
20.0,457.0,229.0
24.0,458.0,227.0
26.0,459.0,228.0
28.0,462.0,225.0
30.0,459.0,224.0
39.0,463.0,225.0
41.0,462.0,224.0
43.0,465.0,222.0
47.0,464.0,219.0
54.0,465.0,218.0
57.0,464.0,217.0
59.0,463.0,216.0
66.0,461.0,216.0
67.0,464.0,214.0
67.0,461.0,210.0
72.0,458.0,212.0
75.0,460.0,209.0
77.0,458.0,212.0
80.0,458.0,207.0
82.0,454.0,206.0
86.0,454.0,207.0
85.0,450.0,206.0
89.0,452.0,204.0
96.0,442.0,200.0
101.0,440.0,202.0
103.0,437.0,198.0
104.0,434.0,199.0
107.0,431.0,196.0
109.0,428.0,197.0
111.0,425.0,196.0
116.0,418.0,197.0
113.0,412.0,194.0
115.0,410.0,194.0
117.0,409.0,195.0
117.0,406.0,194.0
118.0,400.0,193.0
116.0,398.0,192.0
118.0,394.0,195.0
119.0,393.0,193.0
119.0,389.0,195.0
119.0,388.0,193.0
117.0,381.0,194.0
117.0,377.0,194.0
119.0,374.0,193.0
117.0,375.0,193.0
115.0,370.0,196.0
113.0,368.0,194.0
112.0,366.0,193.0
114.0,366.0,195.0
108.0,357.0,197.0
107.0,353.0,195.0
105.0,352.0,200.0
105.0,349.0,197.0
104.0,347.0,199.0
103.0,345.0,198.0
102.0,341.0,198.0
98.0,340.0,200.0
95.0,336.0,201.0
92.0,335.0,202.0
94.0,335.0,204.0
91.0,332.0,204.0
86.0,331.0,205.0
82.0,328.0,206.0
79.0,328.0,208.0
78.0,326.0,207.0
74.0,326.0,210.0
73.0,323.0,211.0
71.0,327.0,211.0
70.0,324.0,211.0
65.0,323.0,216.0
62.0,324.0,216.0
62.0,322.0,216.0
55.0,322.0,215.0
53.0,322.0,214.0
52.0,323.0,216.0
48.0,322.0,221.0
45.0,325.0,219.0
39.0,326.0,223.0
37.0,326.0,224.0
37.0,327.0,225.0
36.0,327.0,221.0
32.0,328.0,223.0
32.0,332.0,225.0
28.0,332.0,228.0
23.0,334.0,226.0
20.0,339.0,229.0
14.0,340.0,229.0
15.0,340.0,230.0
12.0,342.0,230.0
10.0,343.0,232.0
7.0,349.0,234.0
2.0,355.0,236.0
-1.0,356.0,236.0
-3.0,361.0,239.0
-2.0,365.0,235.0
-7.0,368.0,237.0
-4.0,371.0,238.0
-10.0,373.0,239.0
-7.0,378.0,240.0
-6.0,382.0,239.0
-9.0,382.0,240.0
-10.0,390.0,239.0
-10.0,394.0,239.0
-12.0,397.0,242.0
-9.0,401.0,240.0
-11.0,404.0,237.0
-11.0,409.0,240.0
-8.0,409.0,240.0
-7.0,415.0,240.0
-7.0,418.0,238.0
-7.0,422.0,239.0
-2.0,426.0,237.0
-2.0,427.0,238.0
-1.0,433.0,236.0
4.0,436.0,236.0
5.0,441.0,238.0
7.0,442.0,234.0
11.0,448.0,233.0
15.0,451.0,233.0
15.0,453.0,229.0
21.0,456.0,229.0
23.0,457.0,228.0
22.0,457.0,227.0
31.0,461.0,227.0
36.0,461.0,225.0
39.0,461.0,226.0
44.0,463.0,223.0
45.0,463.0,221.0
49.0,465.0,221.0
54.0,463.0,215.0
57.0,461.0,217.0
64.0,462.0,216.0
64.0,463.0,212.0
68.0,459.0,213.0
68.0,462.0,211.0
70.0,463.0,211.0
72.0,460.0,212.0
77.0,458.0,208.0
79.0,460.0,207.0
81.0,456.0,209.0
84.0,455.0,206.0
86.0,452.0,207.0
86.0,450.0,203.0
98.0,445.0,202.0
97.0,439.0,203.0
100.0,443.0,200.0
103.0,439.0,200.0
105.0,434.0,196.0
106.0,429.0,197.0
108.0,430.0,198.0
108.0,428.0,195.0
109.0,428.0,198.0
112.0,424.0,197.0
112.0,420.0,194.0
114.0,419.0,195.0
113.0,417.0,195.0
113.0,415.0,195.0
115.0,413.0,195.0
116.0,407.0,193.0
118.0,404.0,192.0
116.0,401.0,192.0
116.0,397.0,194.0
117.0,390.0,193.0
117.0,390.0,194.0
117.0,383.0,191.0
119.0,382.0,194.0
118.0,380.0,192.0
115.0,375.0,193.0
116.0,372.0,193.0
115.0,372.0,196.0
114.0,368.0,194.0
112.0,361.0,194.0
110.0,358.0,196.0
109.0,354.0,197.0
110.0,357.0,195.0
108.0,352.0,197.0
105.0,349.0,197.0
105.0,347.0,198.0
104.0,345.0,199.0
98.0,339.0,203.0
96.0,341.0,201.0
94.0,338.0,201.0
93.0,334.0,202.0
85.0,331.0,203.0
83.0,329.0,205.0
79.0,329.0,207.0
78.0,328.0,207.0
72.0,327.0,211.0
71.0,325.0,209.0
67.0,323.0,214.0
59.0,321.0,214.0
55.0,322.0,214.0
55.0,324.0,213.0
50.0,325.0,216.0
45.0,326.0,218.0
41.0,326.0,220.0
38.0,326.0,222.0
36.0,328.0,223.0
34.0,330.0,224.0
29.0,331.0,224.0
24.0,330.0,227.0
22.0,335.0,228.0
20.0,334.0,229.0
17.0,336.0,231.0
14.0,342.0,233.0
10.0,345.0,231.0
7.0,347.0,235.0
4.0,351.0,234.0
5.0,352.0,237.0
-1.0,361.0,237.0
-3.0,363.0,237.0
-5.0,363.0,239.0
-5.0,371.0,241.0
-10.0,377.0,242.0
-10.0,380.0,240.0
-8.0,390.0,239.0
-11.0,393.0,239.0
-11.0,398.0,240.0
-9.0,405.0,242.0
-6.0,410.0,240.0
-6.0,414.0,239.0
-8.0,418.0,239.0
-2.0,425.0,238.0
-3.0,427.0,235.0
-2.0,431.0,238.0
0.0,433.0,238.0
2.0,435.0,236.0
5.0,438.0,234.0
5.0,438.0,233.0
11.0,446.0,235.0
12.0,447.0,233.0
15.0,452.0,230.0
24.0,456.0,228.0
24.0,458.0,227.0
30.0,459.0,227.0
30.0,459.0,224.0
37.0,461.0,225.0
41.0,461.0,223.0
45.0,461.0,220.0
51.0,465.0,219.0
50.0,463.0,219.0
55.0,462.0,216.0
58.0,462.0,217.0
61.0,461.0,215.0
67.0,462.0,213.0
72.0,461.0,210.0
71.0,462.0,212.0
77.0,459.0,209.0
78.0,457.0,207.0
82.0,455.0,207.0
90.0,452.0,205.0
90.0,447.0,205.0
99.0,442.0,201.0
100.0,437.0,199.0
103.0,434.0,198.0
109.0,428.0,197.0
110.0,423.0,199.0
111.0,421.0,196.0
112.0,416.0,195.0
114.0,412.0,194.0
115.0,407.0,193.0
116.0,407.0,196.0
117.0,401.0,194.0
117.0,404.0,192.0
116.0,393.0,193.0
