magX,magY,magZ
71.0,334.0,195.0
67.0,328.0,195.0
66.0,330.0,199.0
58.0,330.0,200.0
55.0,328.0,199.0
53.0,327.0,202.0
49.0,330.0,203.0
45.0,328.0,204.0
43.0,331.0,208.0
41.0,332.0,209.0
37.0,331.0,210.0
31.0,333.0,210.0
28.0,337.0,210.0
25.0,338.0,213.0
25.0,336.0,216.0
19.0,340.0,211.0
14.0,344.0,217.0
9.0,349.0,218.0
6.0,353.0,221.0
4.0,355.0,220.0
-1.0,359.0,224.0
-2.0,362.0,223.0
-4.0,366.0,224.0
-3.0,372.0,224.0
-7.0,372.0,226.0
-8.0,376.0,226.0
-9.0,383.0,225.0
-10.0,387.0,226.0
-11.0,392.0,227.0
-13.0,399.0,228.0
-15.0,402.0,228.0
-13.0,411.0,226.0
-14.0,416.0,226.0
-12.0,427.0,226.0
-7.0,433.0,223.0
-7.0,438.0,224.0
-4.0,439.0,224.0
-5.0,441.0,224.0
-4.0,443.0,222.0
-1.0,446.0,222.0
1.0,447.0,220.0
6.0,456.0,218.0
8.0,459.0,216.0
12.0,463.0,215.0
13.0,464.0,215.0
13.0,468.0,216.0
16.0,467.0,212.0
18.0,469.0,213.0
19.0,472.0,211.0
22.0,471.0,211.0
23.0,472.0,208.0
27.0,475.0,208.0
34.0,474.0,207.0
39.0,477.0,205.0
45.0,478.0,203.0
50.0,481.0,200.0
60.0,477.0,198.0
68.0,478.0,192.0
82.0,469.0,186.0
91.0,466.0,186.0
91.0,465.0,184.0
93.0,465.0,183.0
93.0,464.0,182.0
94.0,463.0,181.0
96.0,464.0,183.0
97.0,460.0,180.0
98.0,460.0,179.0
100.0,461.0,181.0
105.0,453.0,178.0
106.0,453.0,175.0
107.0,449.0,176.0
106.0,449.0,176.0
108.0,446.0,174.0
112.0,443.0,175.0
113.0,441.0,177.0
112.0,442.0,176.0
112.0,439.0,173.0
114.0,437.0,174.0
115.0,434.0,173.0
116.0,431.0,173.0
115.0,429.0,173.0
120.0,425.0,173.0
120.0,423.0,175.0
119.0,422.0,172.0
119.0,422.0,171.0
120.0,418.0,171.0
120.0,417.0,172.0
123.0,415.0,171.0
121.0,411.0,172.0
122.0,406.0,171.0
123.0,404.0,172.0
122.0,396.0,170.0
121.0,392.0,171.0
121.0,387.0,171.0
120.0,382.0,173.0
117.0,377.0,175.0
117.0,377.0,174.0
118.0,370.0,174.0
113.0,364.0,176.0
111.0,360.0,177.0
110.0,359.0,178.0
107.0,357.0,177.0
107.0,355.0,181.0
103.0,352.0,179.0
102.0,350.0,179.0
99.0,347.0,181.0
97.0,344.0,182.0
98.0,345.0,185.0
98.0,343.0,182.0
99.0,343.0,182.0
98.0,343.0,181.0
97.0,342.0,183.0
94.0,339.0,183.0
92.0,341.0,182.0
93.0,338.0,187.0
86.0,337.0,185.0
84.0,337.0,188.0
84.0,337.0,187.0
83.0,334.0,188.0
76.0,332.0,193.0
74.0,331.0,191.0
71.0,331.0,193.0
64.0,330.0,197.0
56.0,330.0,198.0
53.0,330.0,202.0
50.0,327.0,203.0
46.0,327.0,204.0
42.0,331.0,207.0
34.0,333.0,210.0
