theta[°],prop[%]
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
23.812860179934997,0.2387152777777778
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
30.927222222222223,2.4641203703703702
-15.550000000000004,2.380497685185185
-15.550000000000004,2.380497685185185
-15.550000000000004,2.380497685185185
-15.550000000000004,2.380497685185185
-15.550000000000004,2.380497685185185
-15.550000000000004,2.380497685185185
