theta_relative,gps_latitude,gps_longitude,x_now,y_now,distance,stack
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
-140.62719696789537,0.0,0.0,-4854554.301471151,-3997487.166697231,6288608.837719287,False
