theta,prop
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
40.76937653257851,2.8564814814814814
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
-11.835277777777776,8.522858796296298
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
0.6911111111111126,15.143518518518517
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
31.1,44.63368055555556
