theta[°],prop[%]
-80.83797658154018,0.0
-80.83797658154018,0.0
-80.83797658154018,0.0
-121.8483199025503,0.0
-121.8483199025503,0.0
-121.8483199025503,0.0
-172.81077473567683,0.0
-172.81077473567683,0.0
-172.81077473567683,0.0
167.7711846183082,0.001736111111111111
167.7711846183082,0.001736111111111111
167.7711846183082,0.001736111111111111
-152.57614186797358,0.0008680555555555555
-152.57614186797358,0.0008680555555555555
-152.57614186797358,0.0008680555555555555
-52.23258422381535,0.0
-52.23258422381535,0.0
-52.23258422381535,0.0
-58.51161148838979,0.0
-58.51161148838979,0.0
-58.51161148838979,0.0
-81.66407660814751,0.008680555555555556
-81.66407660814751,0.008680555555555556
-81.66407660814751,0.008680555555555556
-45.47725241430314,0.027199074074074073
-45.47725241430314,0.027199074074074073
-45.47725241430314,0.027199074074074073
-41.09925703100573,0.008969907407407407
-41.09925703100573,0.008969907407407407
-41.09925703100573,0.008969907407407407
-44.74244389441011,0.011574074074074075
-44.74244389441011,0.011574074074074075
-44.74244389441011,0.011574074074074075
-43.92080674908861,0.014467592592592591
-43.92080674908861,0.014467592592592591
-43.92080674908861,0.014467592592592591
-50.333900759266456,0.010127314814814815
-50.333900759266456,0.010127314814814815
-50.333900759266456,0.010127314814814815
-45.86214443252195,0.015914351851851853
-45.86214443252195,0.015914351851851853
-45.86214443252195,0.015914351851851853
-45.13137343175682,0.01765046296296296
-45.13137343175682,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-46.798427208221185,0.01765046296296296
-0.6047222222222217,0.016493055555555556
-0.6047222222222217,0.016493055555555556
-0.6047222222222217,0.016493055555555556
-0.6047222222222217,0.016493055555555556
-0.6047222222222217,0.016493055555555556
-0.6047222222222217,0.3570601851851852
-0.6047222222222217,0.3570601851851852
-0.6047222222222217,0.3570601851851852
-0.6047222222222217,0.3570601851851852
-0.6047222222222217,0.3570601851851852
-0.6047222222222217,0.3570601851851852
-7.3430555555555586,0.5923032407407407
-7.3430555555555586,0.5923032407407407
-7.3430555555555586,0.5923032407407407
-7.3430555555555586,0.5923032407407407
-7.3430555555555586,0.5923032407407407
-7.3430555555555586,0.5923032407407407
6.392777777777781,0.22193287037037038
6.392777777777781,0.22193287037037038
6.392777777777781,0.22193287037037038
6.392777777777781,0.22193287037037038
6.392777777777781,0.22193287037037038
0.8638888888888907,0.032407407407407406
0.8638888888888907,0.032407407407407406
0.8638888888888907,0.032407407407407406
0.8638888888888907,0.032407407407407406
0.8638888888888907,0.032407407407407406
