magX,magY,magZ
-11.535,35.789,-69.159
-9.051,37.213,-70.188
-10.293,35.611,-68.644
-8.163,35.967,-67.957
-6.034,32.406,-69.674
-8.341,31.515,-66.413
-5.324,28.132,-69.33
-6.389,30.981,-67.957
-2.307,25.818,-71.905
-0.532,26.886,-70.188
0.887,26.53,-69.845
4.082,24.749,-70.532
4.082,24.037,-69.502
3.549,26.708,-66.928
7.454,24.927,-70.36
6.921,26.174,-67.443
10.293,24.927,-70.017
9.406,25.105,-67.443
9.761,24.393,-67.099
11.535,24.393,-67.786
15.085,26.53,-70.875
15.262,25.996,-67.957
14.02,28.31,-64.697
20.586,28.488,-71.046
18.279,29.735,-67.443
20.586,29.913,-67.271
21.651,29.913,-66.241
19.521,29.913,-66.585
21.296,30.269,-66.928
22.006,30.625,-67.614
22.183,31.515,-65.04
26.975,32.406,-67.614
24.49,32.049,-66.585
24.49,34.898,-65.212
27.507,35.789,-69.502
25.023,36.501,-67.786
26.443,36.857,-65.383
27.33,38.459,-66.241
29.459,38.815,-69.33
26.443,40.774,-68.129
28.395,40.24,-66.585
30.879,42.376,-70.703
28.217,42.198,-66.413
28.217,41.13,-67.786
29.459,42.733,-70.017
29.459,42.733,-66.928
29.992,42.911,-70.532
29.814,46.65,-72.763
27.862,46.828,-68.129
28.927,49.321,-70.532
29.282,48.608,-72.591
26.62,51.279,-67.271
26.62,54.128,-68.301
26.797,53.95,-69.845
25.2,53.416,-68.644
25.91,53.06,-69.674
23.603,56.443,-69.845
22.716,56.265,-68.987
23.603,57.155,-71.218
23.248,57.155,-69.502
21.473,61.428,-69.502
18.457,58.401,-70.36
17.214,61.784,-68.129
15.44,58.935,-68.129
20.764,62.14,-74.65
17.037,60.182,-73.106
23.071,56.977,-84.432
16.504,60.716,-76.023
12.955,61.072,-79.455
11.713,60.894,-76.538
10.648,64.811,-74.135
5.501,63.209,-73.621
6.034,62.674,-76.195
5.679,62.674,-74.479
2.13,60.894,-74.135
1.597,58.935,-75.337
-1.42,61.962,-69.674
-3.194,60.538,-71.046
-2.485,58.757,-71.046
-3.549,61.606,-73.449
-4.614,58.401,-71.39
-7.276,56.799,-71.218
-5.679,59.826,-70.36
-7.276,57.867,-72.248
-7.454,57.333,-70.36
-6.211,53.238,-77.396
-9.406,53.238,-72.591
-12.245,53.238,-70.188
-10.116,50.389,-71.561
-12.778,51.279,-71.39
-9.583,44.157,-74.822
-10.825,46.116,-74.65
-12.6,43.623,-69.845
-13.133,43.089,-68.644
-11.358,41.308,-73.106
-13.133,39.884,-68.644
-11.003,34.898,-73.106
-8.873,39.172,-73.449
-12.955,34.72,-70.188
-13.31,34.364,-69.845
-9.228,34.186,-71.046
-6.566,31.159,-73.621
-8.518,28.488,-69.33
-7.276,27.242,-69.845
-4.792,29.023,-69.502
-3.194,24.927,-70.017
-2.307,26.53,-71.561
0.355,26.708,-71.733
0.532,22.969,-70.532
5.856,22.613,-75.68
1.952,25.462,-69.845
4.614,24.571,-70.36
1.597,23.325,-70.188
7.454,23.859,-71.39
7.809,23.147,-67.271
13.133,21.366,-75.508
8.518,23.859,-66.585
11.89,23.681,-69.159
14.73,24.393,-69.502
16.327,24.215,-70.36
15.085,24.393,-67.099
23.071,24.215,-72.763
17.214,27.598,-68.472
17.214,25.462,-69.502
19.876,27.42,-69.33
22.716,29.201,-69.674
22.538,28.666,-70.875
25.555,30.981,-70.017
25.378,31.871,-67.443
26.62,34.186,-67.957
29.282,36.145,-70.532
27.152,38.993,-67.786
31.589,39.884,-73.106
29.992,42.555,-68.472
29.814,43.801,-68.644
29.282,42.198,-69.159
27.33,48.074,-67.271
27.862,47.54,-68.472
25.91,50.211,-68.644
28.927,49.321,-71.905
27.33,54.84,-67.271
26.088,56.087,-66.413
