magX,magY,magZ,magX_calibrated,magY_calibrated,theta_absolute,magX_mean,magY_mean,theta_absolute_lowPass
-35.671,-412.192,-59.549,-2.3571226415094344,-0.18466960352422948,4.479707506518075,-0.47142452830188686,-0.0369339207048459,4.479707506518077
-36.558,-410.589,-60.063,-2.398962264150944,-0.11405286343612335,2.7219398110147464,-0.9512169811320756,-0.059744493392070566,3.5939399050405973
-37.091,-401.864,-58.176,-2.424103773584906,0.27030837004405406,-6.36268634139217,-1.4360377358490568,-0.005682819383259752,0.22673489604546862
-37.8,-401.508,-59.892,-2.4575471698113205,0.2859911894273137,-6.63780277613951,-1.9275471698113207,0.051515418502202995,-1.5309164173612082
-36.913,-393.14,-58.691,-2.415707547169811,0.6546255506607939,-15.162275135289367,-2.410688679245283,0.18244052863436178,-4.327885326802335
-34.783,-390.647,-59.72,-2.3152358490566036,0.7644493392070493,-18.27229623185528,-2.402311320754717,0.37226431718061753,-8.80854510083046
-30.169,-387.086,-61.436,-2.0975943396226415,0.9213215859030836,-23.712412725193783,-2.3420377358490567,0.5793392070484589,-13.894086107618968
-27.862,-382.635,-60.578,-1.9887735849056605,1.1174008810572698,-29.329639695610304,-2.2549716981132075,0.748757709251102,-18.368617594534896
-21.651,-379.608,-61.78,-1.695801886792453,1.2507488986784145,-36.41085364847491,-2.102622641509434,0.9417092511013223,-24.126349490987046
-19.344,-376.937,-61.951,-1.586981132075472,1.3684140969162997,-40.770375413338655,-1.936877358490566,1.0844669603524233,-29.244674477130264
-12.423,-374.979,-61.093,-1.2605188679245283,1.4546696035242304,-49.08999841881756,-1.7259339622641512,1.2225110132158596,-35.310648780490844
-6.389,-372.486,-62.466,-0.9758962264150943,1.5644933920704858,-58.045001400943555,-1.5015943396226414,1.3511453744493402,-41.981108299951224
-0.71,-373.554,-62.466,-0.7080188679245284,1.5174449339207068,-64.98689247393713,-1.2454433962264153,1.4311541850220277,-48.969001237111456
6.921,-375.513,-59.892,-0.3480660377358491,1.431145374449341,-76.33059810413627,-0.9758962264150945,1.4672334801762128,-56.37105896915704
12.955,-375.157,-59.205,-0.06344339622641512,1.4468281938326006,-87.48918931900685,-0.6711886792452829,1.482916299559473,-65.64782672751622
20.764,-376.225,-55.773,0.30490566037735845,1.399779735682819,-102.28844601215805,-0.35810377358490564,1.4719383259911907,-76.32631432252296
23.958,-380.498,-53.027,0.45556603773584897,1.2115418502202653,-110.60735040182978,-0.07181132075471706,1.4013480176211466,-87.0664747986706
28.572,-382.635,-46.849,0.6732075471698112,1.1174008810572698,-121.0679671816294,0.2044339622641509,1.321339207048459,-98.79491174912063
30.702,-384.771,-47.536,0.7736792452830189,1.0233039647577091,-127.09146975577892,0.4287830188679245,1.239770925110133,-109.07828454368963
32.654,-391.359,-45.305,0.8657547169811323,0.7330837004405298,-139.7435150236506,0.6146226415094339,1.0970220264317185,-119.26036756977777
33.364,-394.92,-45.648,0.8992452830188677,0.576211453744493,-147.3493770401212,0.7334905660377358,0.9323083700440534,-128.19378356545903
33.364,-398.838,-44.619,0.8992452830188677,0.40361233480176134,-155.82781025312875,0.8222264150943396,0.7707224669603525,-136.85186808906664
34.074,-401.686,-44.275,0.9327358490566037,0.2781497797356839,-163.39497101728102,0.874132075471698,0.6028722466960355,-145.40671014131652
31.234,-410.589,-45.648,0.7987735849056604,-0.11405286343612335,171.87395010707226,0.8791509433962265,0.37540088105726893,-156.8773288625588
31.412,-414.684,-46.506,0.8071698113207547,-0.29444933920704974,159.9584194004647,0.8674339622641509,0.16989427312775301,-168.91841473991843
29.282,-418.601,-45.477,0.7066981132075472,-0.4670044052863438,146.5422397406044,0.8289245283018868,-0.038748898678414315,177.32360034078857
28.395,-422.341,-47.021,0.6648584905660377,-0.6317621145374456,136.46216324815953,0.7820471698113207,-0.2458237885462557,162.55030885122085
22.893,-426.792,-46.163,0.4053301886792453,-0.8278414096916292,116.08743272697949,0.6765660377358491,-0.46702202643171836,145.3833415198664
20.586,-428.038,-48.394,0.29650943396226404,-0.8827312775330406,108.56719987908464,0.5761132075471698,-0.6207577092511019,132.8637995664571
17.037,-431.955,-51.483,0.12910377358490557,-1.0552863436123345,96.97490775751447,0.4405,-0.7729251101321587,119.67937387067572
15.617,-432.668,-51.826,0.06212264150943397,-1.0866960352422916,93.27183986218374,0.31158490566037733,-0.8968634361233484,109.15805625388495
11.003,-434.804,-53.199,-0.15551886792452835,-1.1807929515418496,82.4969223265799,0.1475094339622641,-1.006669603524229,98.3363449753567
8.518,-434.092,-53.542,-0.2727358490566038,-1.1494273127753303,76.65172662063188,0.01189622641509428,-1.0709867841409693,90.63639957602655
3.727,-436.407,-55.43,-0.4987264150943397,-1.2514096916299557,68.27115148772663,-0.14715094339622645,-1.1447224669603524,82.67495524728045
-2.307,-436.051,-54.744,-0.7833490566037736,-1.235726872246696,57.628668895400985,-0.3296415094339623,-1.1808105726872244,74.4021033307953
-10.648,-435.16,-56.974,-1.1767924528301887,-1.196475770925112,45.475186573928426,-0.5774245283018868,-1.2027665198237887,64.35525433552286
-11.713,-433.38,-59.377,-1.2270283018867925,-1.118061674008811,42.33961575578728,-0.7917264150943396,-1.1902202643171809,56.36841958707022
-15.617,-431.243,-59.377,-1.411179245283019,-1.0239207048458152,35.96381545772993,-1.0194150943396227,-1.1651189427312778,48.81585685886711
-18.102,-428.394,-64.182,-1.5283962264150945,-0.8984140969163003,30.44764741566452,-1.2253490566037735,-1.094519823788547,41.772217890116224
-19.876,-424.477,-64.869,-1.6120754716981134,-0.7258590308370036,24.24030759352215,-1.3910943396226416,-0.9925462555066085,35.50786954529382
-23.071,-417.355,-65.898,-1.7627830188679248,-0.4121145374449349,13.158633420642051,-1.5082924528301889,-0.835674008810573,28.988777779203453
-26.443,-412.904,-66.756,-1.9218396226415095,-0.21603524229074886,6.413731317313913,-1.6472547169811325,-0.6552687224669607,21.692386310841545
-24.135,-410.945,-67.957,-1.8129716981132078,-0.12973568281938302,4.093090805784899,-1.72761320754717,-0.4764317180616742,15.417500226179643
-25.2,-406.316,-67.614,-1.8632075471698113,0.0741850220264329,-2.280070576877753,-1.794575471698113,-0.28191189427312746,8.927697926253376
-23.603,-397.947,-67.443,-1.7878773584905663,0.4428634361233481,-13.912335633071235,-1.829735849056604,-0.04816740088105718,1.50795074657667
