magX,magY,magZ,magX_calibrated,magY_calibrated,theta_absolute,magX_mean,magY_mean,theta_absolute_lowPass
-14.02,-383.347,25.227,-1.3358490566037737,1.0860352422907502,-39.11085152381715,-0.26716981132075474,0.21720704845815003,-39.11085152381715
-8.341,-381.923,26.256,-1.0679716981132075,1.148766519823789,-47.08737054758826,-0.4807641509433962,0.4469603524229079,-42.91321830355352
0.355,-367.5,23.339,-0.6577830188679246,1.7841409691629966,-69.76191068368406,-0.6123207547169811,0.8037885462555072,-52.70009147025379
2.13,-374.266,25.055,-0.574056603773585,1.4860792951541848,-68.87898444165386,-0.7271320754716981,1.1010044052863441,-56.558185118437784
4.082,-369.815,24.883,-0.4819811320754717,1.682158590308371,-74.01164828582858,-0.8235283018867925,1.4374361233480184,-60.19097013367629
4.614,-368.213,21.28,-0.4568867924528302,1.7527312775330395,-75.38976089358376,-0.6477358490566039,1.5707753303964762,-67.5903669870368
7.809,-367.856,21.28,-0.30617924528301893,1.7684581497797367,-80.17755531759482,-0.4953773584905661,1.6947136563876655,-73.70596747943131
9.228,-353.612,19.564,-0.23924528301886797,2.3959471365638767,-84.29768040068586,-0.41166981132075475,1.817074889867842,-77.2347706860305
13.133,-350.763,22.652,-0.05504716981132083,2.521453744493394,-88.74934466769663,-0.3078679245283019,2.0241497797356836,-81.35174275176075
14.197,-335.095,17.504,-0.004858490566037809,3.211674008810573,-89.91332532781051,-0.21244339622641517,2.330052863436124,-84.79044071350954
14.552,-343.285,23.339,0.011886792452830136,2.850881057268723,-90.23889425027804,-0.1186886792452831,2.5496828193832606,-87.33478425729403
12.955,-333.136,16.303,-0.06344339622641512,3.297973568281939,-88.89793218007688,-0.07014150943396232,2.855585903083701,-88.59293165896821
14.552,-338.656,18.534,0.011886792452830136,3.054801762114539,-90.22294723362366,-0.019915094339622696,2.987356828193834,-89.61804564471879
8.518,-337.944,22.652,-0.2727358490566038,3.0861674008810582,-84.94968358641587,-0.06345283018867928,3.1002995594713663,-88.8275094725359
9.051,-322.453,15.616,-0.24759433962264155,3.768590308370047,-86.24110047337078,-0.11200000000000006,3.211682819383261,-88.00275174593052
8.696,-327.439,18.705,-0.2643396226415095,3.548942731277534,-85.74024428600909,-0.16724528301886799,3.3512951541850233,-87.14304311253885
4.792,-322.453,17.333,-0.4484905660377359,3.768590308370047,-83.21329114308374,-0.24425471698113213,3.445418502202645,-85.94493671606807
1.775,-322.631,17.504,-0.5908018867924528,3.7607488986784174,-81.07198120123725,-0.36479245283018874,3.586607929515421,-84.19244041369699
-2.13,-316.221,19.907,-0.775,4.043127753303967,-79.14897708075317,-0.4652452830188679,3.7780000000000022,-82.9796040860304
-9.583,-321.919,12.356,-1.126556603773585,3.7921145374449368,-73.45443486991402,-0.6410377358490565,3.7827048458149806,-80.38172513182485
-6.921,-319.248,18.362,-1.0009905660377358,3.9097797356828217,-75.63946757473211,-0.788367924528302,3.8548722466960377,-78.44170488556584
-7.099,-310.524,14.072,-1.0093867924528304,4.294096916299561,-76.77198401515173,-0.9005471698113208,3.959973568281941,-77.18812350916355
-14.02,-322.453,14.93,-1.3358490566037737,3.768590308370047,-70.48215283103501,-1.049556603773585,3.9615418502202666,-75.16117833687343
-11.003,-314.797,16.818,-1.1935377358490566,4.1058590308370055,-73.79130879749891,-1.1332641509433963,3.9740881057268744,-74.08379396030749
-15.617,-315.509,15.788,-1.411179245283019,4.074493392070486,-70.89674285312061,-1.1901886792452832,4.030563876651985,-73.54861102907239
-18.102,-308.743,15.788,-1.5283962264150945,4.372555066079298,-70.7332812965496,-1.295669811320755,4.1231189427312795,-72.55493086911238
-23.958,-324.234,17.333,-1.8046226415094337,3.6901321585903113,-63.93951211325756,-1.4547169811320757,4.002325991189429,-70.02541945507882
-25.91,-318.002,16.475,-1.8966981132075473,3.964669603524231,-64.43354547770387,-1.5668867924528302,4.041541850220267,-68.80892199134017
-30.169,-323.343,12.699,-2.0975943396226415,3.7293832599118955,-60.6443909183111,-1.7476981132075473,3.966246696035244,-66.21965604627022
-28.04,-323.699,17.161,-1.997169811320755,3.7137004405286356,-61.72933365577711,-1.8648962264150946,3.894088105726874,-64.41003097983463
-35.316,-324.946,13.214,-2.3403773584905663,3.6587665198237893,-57.39445934073304,-2.027292452830189,3.7513303964757725,-61.612343615599876
-33.719,-326.904,20.936,-2.265047169811321,3.572511013215861,-57.62444253398553,-2.119377358490566,3.7278061674008827,-60.38038105596313
-41.705,-329.575,15.96,-2.6417452830188677,3.454845814977976,-52.59669067682294,-2.26838679245283,3.625841409691632,-57.969216540943734
-41.172,-340.08,16.818,-2.6166037735849055,2.9920704845815,-48.829890412583175,-2.372188679245283,3.4783788546255523,-55.706750808477146
-45.964,-331.712,19.735,-2.842641509433962,3.36070484581498,-49.773894699982016,-2.5412830188679245,3.4077797356828214,-53.28700753698512
-47.206,-343.285,22.652,-2.9012264150943397,2.850881057268723,-44.49853112450521,-2.6534528301886793,3.246202643171808,-50.73736415961942
-44.899,-347.024,20.765,-2.7924056603773586,2.6861674008810588,-43.88908279167561,-2.758924528301887,3.0689339207048474,-48.04494433824708
-41.882,-342.929,16.475,-2.6500943396226417,2.866563876651985,-47.24709065700485,-2.760594339622642,2.9512775330396495,-46.91203278208641
