magX,magY,magZ,magX_calibrated,magY_calibrated,theta_absolute,magX_mean,magY_mean,theta_absolute_lowPass
-7.454,-372.486,11.669,-1.0261320754716983,1.5644933920704858,-56.73962132055248,-0.20522641509433964,0.31289867841409713,-56.73962132055248
-10.825,-358.776,10.811,-1.1851415094339623,2.1684581497797364,-61.34178560101031,-0.4422547169811321,0.7465903083700445,-59.35894145249819
-7.986,-364.473,10.811,-1.0512264150943398,1.9174889867841414,-61.26709231601451,-0.6525000000000001,1.1300881057268728,-59.998352473043504
-14.02,-363.049,9.782,-1.3358490566037737,1.9802202643171827,-55.99654739093208,-0.9196698113207548,1.5261321585903092,-58.92621136471562
-15.617,-362.159,7.551,-1.411179245283019,2.0194273127753317,-55.05408451150992,-1.2019056603773586,1.9300176211453757,-58.08768792072347
-20.764,-350.229,7.722,-1.6539622641509435,2.544977973568284,-56.980459931614476,-1.3274716981132078,2.126114537444935,-58.02078340580745
-18.102,-351.832,4.462,-1.5283962264150945,2.474361233480178,-58.29665473216139,-1.396122641509434,2.1872951541850236,-57.45042833503602
-18.811,-351.832,4.805,-1.5618396226415097,2.474361233480178,-57.73950152243658,-1.4982452830188682,2.298669603524231,-56.90417346054398
-20.941,-344.354,5.835,-1.662311320754717,2.8037885462555088,-59.33712850394939,-1.5635377358490568,2.463383259911896,-57.59623323533814
-19.876,-343.641,6.521,-1.6120754716981134,2.835198237885463,-60.37771844071876,-1.603716981132076,2.6265374449339225,-58.59250436907981
-22.006,-342.217,4.805,-1.7125471698113206,2.8979295154185043,-59.41880546234632,-1.6154339622641511,2.697127753303966,-59.08066704908539
-22.183,-324.234,1.888,-1.7208962264150947,3.6901321585903113,-64.99796786198468,-1.653933962264151,2.9402819383259926,-60.64187088273688
-23.603,-339.902,7.036,-1.7878773584905663,2.9999118942731298,-59.20604625081579,-1.6991415094339621,3.045392070484583,-60.84116952437625
-20.409,-329.219,5.663,-1.6372169811320756,3.4705286343612354,-64.74447103519071,-1.6941226415094341,3.178740088105729,-61.9444312513349
-24.49,-329.753,8.58,-1.8297169811320755,3.447004405286346,-62.0400273752838,-1.7376509433962266,3.301101321585905,-62.23834436249804
-18.457,-334.383,5.492,-1.5451415094339624,3.243039647577095,-64.52460319898378,-1.7041698113207548,3.3701233480176236,-63.17565129844412
-18.989,-326.014,5.663,-1.570235849056604,3.61171806167401,-66.50245299922302,-1.674037735849057,3.3544405286343633,-63.47845286223385
-15.617,-326.548,4.119,-1.411179245283019,3.5881938325991207,-68.53107929054688,-1.5986981132075475,3.4720969162995616,-65.27668684137117
-16.682,-335.451,6.521,-1.4614150943396227,3.195991189427313,-65.42703765583879,-1.563537735849057,3.4171894273127768,-65.41349877756286
-20.586,-340.08,5.492,-1.645566037735849,2.9920704845815,-61.19027551836543,-1.5267075471698113,3.3262026431718077,-65.34515403858447
-20.586,-327.973,7.208,-1.645566037735849,3.5254185022026445,-64.97815895135751,-1.5467924528301886,3.3826784140969175,-65.42687215529116
-17.924,-335.273,4.29,-1.5200000000000002,3.203832599118943,-64.61885105137064,-1.536745283018868,3.3011013215859037,-65.03684352198066
-20.054,-321.741,6.006,-1.6204716981132075,3.7999559471365663,-66.90442515581783,-1.5786037735849057,3.343453744493393,-64.72577225069489
-18.279,-333.136,5.32,-1.536745283018868,3.297973568281939,-65.01605664392348,-1.5936698113207546,3.363850220264319,-64.65010877871855
-16.504,-325.302,3.261,-1.4530188679245284,3.6430837004405294,-68.25575499403708,-1.5551603773584906,3.4940528634361243,-66.00673604480784
-9.583,-325.836,7.551,-1.126556603773585,3.61955947136564,-72.71169786683537,-1.4513584905660377,3.5128810572687237,-67.55187032560922
-17.214,-322.809,1.888,-1.4865094339622642,3.752907488986785,-68.3917088303716,-1.4446603773584905,3.622696035242292,-68.25885265828704
-14.02,-319.96,4.977,-1.3358490566037737,3.8784140969163023,-70.99466465713853,-1.3877358490566039,3.638387665198239,-69.12239560249333
-9.938,-325.124,5.835,-1.143301886792453,3.6509251101321594,-72.61184282821881,-1.3090471698113209,3.7089779735682833,-70.56001846594259
-13.665,-320.316,2.574,-1.3191037735849056,3.862731277533043,-71.14521578777214,-1.2822641509433963,3.7529074889867857,-71.1361286477363
-4.792,-319.248,9.095,-0.900566037735849,3.9097797356828217,-77.02891075584215,-1.2370660377358491,3.8109515418502227,-72.01614574293609
-11.003,-322.275,7.894,-1.1935377358490566,3.776431718061677,-72.46090756923702,-1.1784716981132075,3.815656387665201,-72.83661130253513
-9.406,-304.648,7.379,-1.1182075471698114,4.552951541850222,-76.20124157290988,-1.1349433962264153,3.9505638766519846,-73.97135972854298
-3.904,-311.948,9.61,-0.858679245283019,4.231365638766523,-78.5286321614854,-1.0780188679245284,4.066651982378857,-75.15308519624703
-6.921,-304.648,3.947,-1.0009905660377358,4.552951541850222,-77.60048919979903,-1.0143962264150943,4.204696035242293,-76.43639548272195
-2.485,-307.319,6.521,-0.7917452830188679,4.435286343612336,-79.87871019756558,-0.9926320754716981,4.309797356828196,-77.02982893098418
-0.177,-308.209,12.871,-0.6828773584905661,4.396079295154187,-81.1703666313117,-0.8905000000000001,4.433726872246698,-78.64342133649015
0.887,-311.77,7.036,-0.632688679245283,4.2392070484581525,-81.5114367659698,-0.7933962264150944,4.370977973568284,-79.71199294904913
0.355,-309.811,8.237,-0.6577830188679246,4.325506607929518,-81.3532355223006,-0.7532169811320755,4.389806167400883,-80.2638151425684
3.017,-317.112,12.528,-0.5322169811320755,4.00387665198238,-82.4283213929925,-0.6594622641509434,4.2799911894273155,-81.24073361423265
3.904,-315.865,12.013,-0.4903773584905661,4.058810572687226,-83.1110286784717,-0.5991886792452831,4.204696035242293,-81.8896918172524
0.532,-300.731,8.752,-0.649433962264151,4.725506607929518,-82.17476950034288,-0.5925,4.270581497797359,-82.1012130064692
6.566,-310.346,12.528,-0.36481132075471706,4.301938325991191,-85.15282231747794,-0.5389245283018869,4.283127753303967,-82.82844686413254
8.518,-316.577,11.326,-0.2727358490566038,4.027444933920707,-86.12588342133574,-0.46191509433962263,4.223515418502204,-83.75851335043075
13.842,-307.319,16.475,-0.02160377358490567,4.435286343612336,-89.72092100418725,-0.3597924528301887,4.309797356828195,-85.22787344249875
14.375,-305.36,11.841,0.0035377358490565705,4.521585903083702,-90.04482880479686,-0.2610094339622642,4.402352422907491,-86.60698378172852
6.566,-306.428,24.197,-0.36481132075471706,4.474537444933923,-85.33895529077516,-0.20408490566037737,4.352158590308372,-87.31520716893485
17.924,-316.043,13.557,0.17094339622641505,4.050969162995597,-92.4163422162162,-0.09693396226415096,4.301964757709253,-88.70920205114464
20.941,-311.592,16.131,0.313254716981132,4.2470484581497825,-94.21839579640162,0.020264150943396182,4.345885462555069,-90.26715888397253
18.811,-312.304,18.877,0.2127830188679245,4.215682819383264,-92.8895037906853,0.06714150943396222,4.3019647577092535,-90.89415256362386
19.699,-307.853,16.303,0.2546698113207548,4.411762114537447,-93.30374350340347,0.11736792452830187,4.280000000000003,-91.57079482625075
29.459,-309.811,19.564,0.7150471698113208,4.325506607929518,-99.38664517004544,0.3333396226415094,4.2501938325991215,-94.48448658691863
29.105,-313.729,18.877,0.6983490566037736,4.152907488986787,-99.54549933299946,0.4388207547169811,4.27058149779736,-95.86679933504193
29.282,-305.36,21.108,0.7066981132075472,4.521585903083702,-98.88313696448105,0.5175094339622641,4.325488986784144,-96.8225424515725
26.797,-324.234,24.883,0.5894811320754717,3.6901321585903113,-99.07604531362628,0.5928490566037736,4.220378854625553,-97.9961856444153
29.105,-334.383,21.966,0.6983490566037736,3.243039647577095,-102.15237883335169,0.6815849056603773,3.986634361233483,-99.70191325840693
26.62,-333.67,22.309,0.5811320754716981,3.2744493392070493,-100.06376677612104,0.6548018867924528,3.776422907488989,-99.83683263122455
27.862,-325.302,22.138,0.6397169811320754,3.6430837004405294,-99.95946810958753,0.6430754716981132,3.674458149779737,-99.9269308097182
28.572,-328.863,23.854,0.6732075471698112,3.4862114537444953,-100.9296162452601,0.636377358490566,3.467383259911896,-100.39989520466584
29.992,-321.385,27.286,0.7401886792452831,3.815638766519826,-100.97834702411107,0.6665188679245283,3.4924845814977994,-100.80461900138499
28.217,-325.302,24.883,0.6564622641509433,3.6430837004405294,-100.21474660245423,0.6581415094339622,3.5724933920704856,-100.43826057196158
31.412,-329.931,28.316,0.8071698113207547,3.439162995594716,-103.2082334057784,0.7033490566037736,3.6054361233480194,-101.03863353357474
29.282,-325.658,24.883,0.7066981132075472,3.62740088105727,-101.02439303967931,0.7167452830188679,3.602299559471368,-101.25311121045299
29.992,-335.985,28.659,0.7401886792452831,3.172466960352424,-103.1331040553467,0.7301415094339623,3.5395506607929534,-101.65553587996541
31.057,-332.78,25.227,0.7904245283018867,3.313656387665201,-103.41636471789322,0.740188679245283,3.4391541850220277,-102.14614933943297
30.347,-325.302,24.197,0.756933962264151,3.6430837004405294,-101.7375091813749,0.7602830188679246,3.4391541850220277,-102.46571012233849
30.879,-337.231,24.712,0.7820283018867925,3.117577092511015,-104.08179579668094,0.7552547169811321,3.3748370044052876,-102.61437822120438
28.04,-337.231,25.741,0.6481132075471697,3.117577092511015,-101.74394413237019,0.7435377358490566,3.272872246696037,-102.79932421422356
32.121,-332.424,25.57,0.84061320754717,3.3293392070484606,-104.17025048913037,0.7636226415094339,3.304246696035244,-103.01279379407387
32.654,-337.588,28.487,0.8657547169811323,3.1018502202643177,-105.5949032843539,0.7786886792452831,3.2618854625550675,-103.42655794599196
32.476,-340.258,30.375,0.8573584905660376,2.9842290748898703,-106.02917182071508,0.7987735849056604,3.1301145374449355,-104.31576701366535
33.364,-329.397,29.517,0.8992452830188677,3.4626872246696054,-104.55788852168301,0.8222169811320754,3.199136563876654,-104.41374866207173
30.702,-317.112,25.913,0.7736792452830189,4.00387665198238,-100.9366182138431,0.8473301886792454,3.376396475770927,-104.08783621966987
31.589,-337.231,29.174,0.8155188679245282,3.117577092511015,-104.65937522340295,0.8423113207547169,3.334044052863438,-104.17849261636724
30.347,-343.463,27.972,0.756933962264151,2.843039647577093,-104.90864962445119,0.8205471698113207,3.2822819383259927,-104.03586042303438
31.944,-335.095,27.458,0.8322641509433962,3.211674008810573,-104.52790088273858,0.8155283018867925,3.3277709251101335,-103.76994585741714
29.282,-335.629,27.972,0.7066981132075472,3.1881497797356837,-102.49832682802516,0.7770188679245283,3.2728634361233495,-103.35547559735258
34.074,-332.246,26.428,0.9327358490566037,3.3371806167400906,-105.61558015788545,0.8088301886792453,3.1395242290748913,-104.44685711169619
31.412,-343.819,29.002,0.8071698113207547,2.8273568281938335,-105.93328415384643,0.8071603773584906,3.0814801762114543,-104.67823831870976
31.767,-345.244,28.316,0.8239150943396226,2.764581497797357,-106.59538533737945,0.820556603773585,3.0657885462555075,-104.983975009651
31.589,-337.588,28.83,0.8155188679245282,3.1018502202643177,-104.7304760269372,0.8172075471698113,3.0438237885462565,-105.02840246725219
28.217,-339.902,27.629,0.6564622641509433,2.9999118942731298,-102.34330743226982,0.8071603773584906,3.0061762114537456,-105.02947754721654
30.702,-338.478,30.375,0.7736792452830189,3.0626431718061684,-104.1773410297608,0.7753490566037735,2.951268722466961,-104.71994571238493
32.476,-334.917,30.718,0.8573584905660376,3.2195154185022052,-104.91182719000398,0.7853867924528302,3.0297004405286354,-104.53284075836956
30.169,-337.588,28.144,0.7485377358490566,3.1018502202643177,-103.56720994931732,0.7703113207547169,3.0971541850220277,-103.96697395804284
28.572,-336.697,31.405,0.6732075471698112,3.1411013215859045,-102.0967523007743,0.7418490566037735,3.105004405286345,-103.43723416234641
30.524,-339.012,28.144,0.7652830188679246,3.039118942731279,-104.13385079834364,0.7636132075471698,3.1128458149779745,-103.78307277540787
28.04,-342.929,28.144,0.6481132075471697,2.866563876651985,-102.74003670730582,0.7384999999999999,3.073629955947138,-103.51034086198037
27.685,-335.451,28.487,0.6313679245283018,3.195991189427313,-101.1748911370536,0.6933018867924529,3.0689251101321604,-102.7300186447556
28.217,-340.971,28.316,0.6564622641509433,2.952819383259913,-102.53398829253352,0.6748867924528301,3.039118942731279,-102.52031020630362
27.862,-333.848,28.659,0.6397169811320754,3.2666079295154193,-101.08030499541671,0.668188679245283,3.0642202643171816,-102.30143896624863
29.992,-337.053,26.6,0.7401886792452831,3.125418502202645,-103.3238018797017,0.6631698113207547,3.081480176211455,-102.14545947990744
29.637,-336.341,28.316,0.7234433962264151,3.1567841409691644,-102.90764487218708,0.6782358490566038,3.1395242290748913,-102.19035268351351
31.057,-328.507,30.718,0.7904245283018867,3.5018942731277547,-102.71928379384717,0.7100471698113207,3.200704845814979,-102.50798476371382
27.33,-341.861,30.203,0.6146226415094339,2.913612334801764,-101.91182805932107,0.7016792452830188,3.1928634361233494,-102.39456834528386
29.282,-341.683,32.091,0.7066981132075472,2.9214537444933937,-103.59859317277511,0.7150754716981133,3.123832599118944,-102.89341747900444
33.541,-341.327,26.943,0.9075943396226414,2.9371365638766536,-107.17148986830263,0.7485566037735849,3.0861762114537457,-103.63388010923796
29.282,-350.229,26.256,0.7066981132075472,2.544977973568284,-105.51909028979792,0.7452075471698113,2.96381497797357,-104.11361354737458
29.282,-348.449,24.197,0.7066981132075472,2.623392070484582,-105.07663859355416,0.7284622641509433,2.788114537444936,-104.64257598326971
29.459,-356.817,25.741,0.7150471698113208,2.254757709251102,-107.59528749726836,0.7485471698113207,2.656343612334803,-105.73762731965903
29.105,-357.173,27.458,0.6983490566037736,2.2390748898678425,-107.32227118213453,0.746877358490566,2.5198678414096927,-106.50958374050136
27.152,-353.078,27.286,0.6062264150943396,2.4194713656387687,-104.06651950224774,0.6866037735849057,2.416334801762116,-105.8625481743592
24.49,-351.476,29.86,0.4806603773584905,2.4900440528634373,-100.92559009136058,0.6413962264150943,2.4053480176211464,-104.93075197938558
21.119,-359.844,31.748,0.3216509433962264,2.121409691629957,-98.62159473426694,0.5643867924528302,2.3049515418502216,-103.75864783920058
22.361,-361.447,31.233,0.3802358490566038,2.050792951541851,-100.50388520119488,0.4974245283018869,2.264158590308371,-102.39075399399474
23.781,-359.666,27.114,0.4472169811320754,2.129251101321587,-101.86169269915855,0.4471981132075472,2.24219383259912,-101.2794456100734
21.119,-356.283,29.345,0.3216509433962264,2.278281938325992,-98.03598540034604,0.3902830188679245,2.213955947136565,-99.99756164529671
20.764,-358.42,28.316,0.30490566037735845,2.184140969162996,-97.9471206336534,0.3551320754716981,2.1527753303964765,-99.36741974813313
18.811,-357.886,28.144,0.2127830188679245,2.2076651982378857,-95.50537530473107,0.3333584905660377,2.170026431718062,-98.73347875324593
22.538,-353.434,29.688,0.38858490566037734,2.4037885462555066,-99.18272145164399,0.33502830188679245,2.2406255506607935,-98.50411628139607
