magX,magY,magZ,magX_calibrated,magY_calibrated,theta_absolute,magX_mean,magY_mean,theta_absolute_lowPass
-26.443,-358.064,22.481,-1.9218396226415095,2.1998237885462557,-48.858450733218305,-0.38436792452830193,0.43996475770925114,-48.858450733218305
-28.395,-363.583,17.847,-2.0139150943396227,1.9566960352422906,-44.17438812906896,-0.7871509433962265,0.8313039647577092,-46.56269689459394
-25.555,-361.447,19.907,-1.8799528301886794,2.050792951541851,-47.48865279876499,-1.1631415094339623,1.2414625550660794,-46.86553767291782
-28.75,-355.749,17.504,-2.0306603773584904,2.301806167400881,-48.58116408600477,-1.5692735849056603,1.7018237885462557,-47.320448980745816
-28.75,-353.256,18.534,-2.0306603773584904,2.411629955947139,-49.90167669471988,-1.9754056603773584,2.1841497797356837,-47.87293485342323
-32.831,-354.503,18.705,-2.2231603773584907,2.3566960352422925,-46.670109688389324,-2.0356698113207545,2.2155242290748904,-47.422556447224835
-33.009,-352.9,19.22,-2.231556603773585,2.4273127753303987,-47.40603628586971,-2.079198113207547,2.3096475770925124,-48.00572587189283
-29.637,-347.024,17.333,-2.0725,2.6861674008810588,-52.348184496496856,-2.1177075471698115,2.436722466960354,-49.00673703630648
-33.896,-341.327,20.422,-2.273396226415094,2.9371365638766536,-52.2594881426416,-2.166254716981132,2.563788546255508,-49.80410162891691
-31.767,-353.434,19.049,-2.1729716981132077,2.4037885462555066,-47.88711566634059,-2.1947169811320757,2.5622202643171823,-49.41768378869291
-38.688,-345.778,15.788,-2.499433962264151,2.7410572687224675,-47.63986665884106,-2.2499716981132076,2.639092511013217,-49.55058086055335
-31.767,-352.366,16.646,-2.1729716981132077,2.450837004405288,-48.43902331413084,-2.2382547169811327,2.643797356828195,-49.74854766575305
-34.251,-337.053,11.155,-2.2901415094339623,3.125418502202645,-53.76800875353456,-2.2817830188679245,2.731647577092512,-50.12752554610491
-31.589,-335.451,15.788,-2.164575471698113,3.195991189427313,-55.891067211288465,-2.2600188679245283,2.783418502202644,-50.92485238143691
